TAREA: ZELDA_CL


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-100,22.0,-1000
2,-52,18.0,-1000
3,-32,20.0,-1000
4,-108,19.0,-1000
5,-117,17.0,-1000
6,-108,19.0,-1000
7,-117,17.0,-1000
8,-108,19.0,-1000
9,-108,19.0,-1000
10,-108,19.0,-1000
11,-117,17.0,-1000
12,9,34.0,-1000
13,-30,33.0,-1000
14,-108,19.0,-1000
15,-100,22.0,-1000
16,-100,22.0,-1000
17,-108,19.0,-1000
18,-100,22.0,-1000
19,0,32.0,-1000
20,-117,17.0,-1000
21,-108,19.0,-1000
22,-108,19.0,-1000
23,-11,36.0,-1000
24,-117,17.0,-1000
25,-20,34.0,-1000
26,-109,20.0,-1000
27,9,34.0,-1000
28,-100,22.0,-1000
29,-117,17.0,-1000
30,-108,19.0,-1000
31,-52,18.0,-1000
32,-109,20.0,-1000
33,-108,19.0,-1000
34,-108,19.0,-1000
35,-117,17.0,-1000
36,-126,15.0,-1000
37,-108,19.0,-1000
38,-108,19.0,-1000
39,-117,17.0,-1000
40,-117,17.0,-1000
41,-100,22.0,-1000
42,-126,15.0,-1000
43,-100,22.0,-1000
44,-118,18.0,-1000
45,-32,20.0,-1000
46,-109,20.0,-1000
47,-126,15.0,-1000
48,-109,20.0,-1000
49,-108,19.0,-1000
50,0,32.0,-1000
MEAN,-90.32,20.92,-1000.0
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,263,100.0,263
2,219,100.0,219
3,241,100.0,241
4,241,100.0,241
5,241,100.0,241
6,252,100.0,252
7,241,100.0,241
8,241,100.0,241
9,285,100.0,285
10,254,100.0,254
11,219,100.0,219
12,219,100.0,219
13,263,100.0,263
14,232,100.0,232
15,274,100.0,274
16,252,100.0,252
17,252,100.0,252
18,307,100.0,307
19,241,100.0,241
20,197,100.0,197
21,274,100.0,274
22,252,100.0,252
23,241,100.0,241
24,241,100.0,241
25,219,100.0,219
26,241,100.0,241
27,241,100.0,241
28,241,100.0,241
29,263,100.0,263
30,241,100.0,241
31,263,100.0,263
32,241,100.0,241
33,274,100.0,274
34,263,100.0,263
35,219,100.0,219
36,230,100.0,230
37,263,100.0,263
38,241,100.0,241
39,263,100.0,263
40,265,100.0,265
41,219,100.0,219
42,219,100.0,219
43,241,100.0,241
44,219,100.0,219
45,232,100.0,232
46,252,100.0,252
47,274,100.0,274
48,241,100.0,241
49,263,100.0,263
50,252,100.0,252
MEAN,246.44,100.0,246.44
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-132,10.0,-1000
2,-132,10.0,-1000
3,-132,10.0,-1000
4,-132,10.0,-1000
5,-132,10.0,-1000
6,-132,10.0,-1000
7,-132,10.0,-1000
8,-132,10.0,-1000
9,-132,10.0,-1000
10,-132,10.0,-1000
11,466,23.0,-1000
12,-132,10.0,-1000
13,-132,10.0,-1000
14,-132,10.0,-1000
15,-132,10.0,-1000
16,-132,10.0,-1000
17,-132,10.0,-1000
18,-132,10.0,-1000
19,-132,10.0,-1000
20,-132,10.0,-1000
21,-132,10.0,-1000
22,1636,20.0,1000
23,-132,10.0,-1000
24,-132,10.0,-1000
25,-132,10.0,-1000
26,-132,10.0,-1000
27,-132,10.0,-1000
28,-132,10.0,-1000
29,-132,10.0,-1000
30,-132,10.0,-1000
31,-132,10.0,-1000
32,1636,20.0,1000
33,-132,10.0,-1000
34,-132,10.0,-1000
35,-132,10.0,-1000
