TAREA: ZELDA_CL_2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-135,13.0,-1000
2,-77,21.0,-1000
3,-135,13.0,-1000
4,-135,13.0,-1000
5,-135,13.0,-1000
6,-135,13.0,-1000
7,-135,13.0,-1000
8,-135,13.0,-1000
9,-144,11.0,-1000
10,-135,13.0,-1000
11,-144,11.0,-1000
12,-136,14.0,-1000
13,-135,13.0,-1000
14,-144,11.0,-1000
15,-144,11.0,-1000
16,-135,13.0,-1000
17,-135,13.0,-1000
18,-135,13.0,-1000
19,-135,13.0,-1000
20,-135,13.0,-1000
MEAN,-133.95,13.05,-1000.0
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-91,17.0,-1000
2,-101,18.0,-1000
3,-101,18.0,-1000
4,-111,19.0,-1000
5,-61,16.0,-1000
6,-151,23.0,-1000
7,-91,17.0,-1000
8,-271,35.0,-1000
9,-211,29.0,-1000
10,-231,31.0,-1000
11,-131,21.0,-1000
12,-241,32.0,-1000
13,-101,18.0,-1000
14,-111,19.0,-1000
15,-151,23.0,-1000
16,-261,34.0,-1000
17,-71,15.0,-1000
18,-211,29.0,-1000
19,-71,15.0,-1000
20,-71,15.0,-1000
MEAN,-142.0,22.2,-1000.0
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-132,10.0,-1000
2,-132,10.0,-1000
3,-132,10.0,-1000
4,-132,10.0,-1000
5,-132,10.0,-1000
6,-132,10.0,-1000
7,-132,10.0,-1000
8,-132,10.0,-1000
9,-132,10.0,-1000
10,-132,10.0,-1000
11,-132,10.0,-1000
12,-132,10.0,-1000
13,-132,10.0,-1000
14,-132,10.0,-1000
15,-132,10.0,-1000
16,-132,10.0,-1000
17,-132,10.0,-1000
18,-132,10.0,-1000
19,-132,10.0,-1000
20,-132,10.0,-1000
MEAN,-132.0,10.0,-1000.0
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,154,97.0,-1000
2,143,93.0,-1000
3,297,100.0,297
4,307,100.0,307
5,85,98.0,-1000
6,250,100.0,250
7,12,78.0,-1000
8,-59,81.0,-1000
9,55,74.0,-1000
10,214,90.0,-1000
11,207,95.0,-1000
12,119,99.0,-1000
13,187,97.0,-1000
14,213,93.0,-1000
15,183,93.0,-1000
16,138,59.0,-1000
17,77,93.0,-1000
18,414,100.0,414
19,-3,34.0,-1000
20,-33,37.0,-1000
MEAN,148.0,85.55,-736.6
WINS,0.0


Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos,Score
1,-120,9.0,-1000
2,-120,9.0,-1000
3,-120,9.0,-1000
4,-120,9.0,-1000
5,-120,9.0,-1000
6,-120,9.0,-1000
7,-120,9.0,-1000
8,-120,9.0,-1000
9,-120,9.0,-1000
10,-79,23.0,-1000
11,-120,9.0,-1000
12,-120,9.0,-1000
13,-121,10.0,-1000
14,-70,25.0,-1000
15,-120,9.0,-1000
16,-120,9.0,-1000
17,-120,9.0,-1000
18,-121,10.0,-1000
19,-120,9.0,-1000
20,-120,9.0,-1000
MEAN,-115.55,10.6,-1000.0
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,-75.1,28.28,-947.32
TOTAL_WINS,0.0
Win_MEAN,0.0
