TAREA: ZELDA_CL_R2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-423,73.0,-1000
2,-312,59.0,-1000
3,-642,92.0,-1000
4,-593,90.0,-1000
5,-442,72.0,-1000
6,-574,87.0,-1000
7,-582,86.0,-1000
8,-543,83.0,-1000
9,-303,61.0,-1000
10,-381,63.0,-1000
11,-243,55.0,-1000
12,-233,54.0,-1000
13,-454,79.0,-1000
14,-512,79.0,-1000
15,-511,76.0,-1000
16,-273,58.0,-1000
17,-481,73.0,-1000
18,-354,67.0,-1000
19,-632,91.0,-1000
20,-424,76.0,-1000
MEAN,-445.6,73.7,-1000.0
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-641,72.0,-1000
2,-571,65.0,-1000
3,-800,100.0,-800
4,-614,100.0,-614
5,-791,100.0,-791
6,-671,75.0,-1000
7,-800,100.0,-800
8,-421,50.0,-1000
9,-771,100.0,-771
10,-561,64.0,-1000
11,-291,37.0,-1000
12,-800,100.0,-800
13,-625,74.0,-1000
14,-751,83.0,-1000
15,-381,46.0,-1000
16,-800,100.0,-800
17,-645,76.0,-1000
18,-786,93.0,-1000
19,-800,100.0,-800
20,-331,41.0,-1000
MEAN,-642.55,78.8,-908.8
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-132,10.0,-1000
2,-132,10.0,-1000
3,-132,10.0,-1000
4,-132,10.0,-1000
5,-132,10.0,-1000
6,-132,10.0,-1000
7,-181,4.0,-1000
8,-132,10.0,-1000
9,-132,10.0,-1000
10,-132,10.0,-1000
11,-132,10.0,-1000
12,-132,10.0,-1000
13,-134,12.0,-1000
14,-132,10.0,-1000
15,-132,10.0,-1000
16,-132,10.0,-1000
17,-132,10.0,-1000
18,-132,10.0,-1000
19,-132,10.0,-1000
20,-181,4.0,-1000
MEAN,-137.0,9.5,-1000.0
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-860,100.0,-860
2,-860,100.0,-860
3,-860,100.0,-860
4,-860,100.0,-860
5,-860,100.0,-860
6,-860,100.0,-860
7,-860,100.0,-860
8,-860,100.0,-860
9,-860,100.0,-860
10,-860,100.0,-860
11,-860,100.0,-860
12,-860,100.0,-860
13,-860,100.0,-860
14,-860,100.0,-860
15,-860,100.0,-860
16,-860,100.0,-860
17,-860,100.0,-860
18,-860,100.0,-860
19,-860,100.0,-860
20,-860,100.0,-860
MEAN,-860.0,100.0,-860.0
WINS,0.0


Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos,Score
1,-120,9.0,-1000
2,-120,9.0,-1000
3,-120,9.0,-1000
4,-120,9.0,-1000
5,-120,9.0,-1000
6,-120,9.0,-1000
7,-120,9.0,-1000
8,-120,9.0,-1000
9,-120,9.0,-1000
10,-120,9.0,-1000
11,-120,9.0,-1000
12,-120,9.0,-1000
13,-120,9.0,-1000
14,-120,9.0,-1000
15,-120,9.0,-1000
16,-120,9.0,-1000
17,-120,9.0,-1000
18,-120,9.0,-1000
19,-120,9.0,-1000
20,-120,9.0,-1000
MEAN,-120.0,9.0,-1000.0
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,-441.03000000000003,54.2,-953.76
TOTAL_WINS,0.0
Win_MEAN,0.0
