TAREA: ZELDA_CL_INVERSE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-52,18.0,-1000
2,-102,13.0,-1000
3,113,79.0,-1000
4,-101,12.0,-1000
5,-141,8.0,-1000
6,-662,100.0,-662
7,-662,100.0,-662
8,-101,12.0,-1000
9,-82,15.0,-1000
10,-52,18.0,-1000
11,-92,27.0,-1000
12,-82,15.0,-1000
13,-101,12.0,-1000
14,-101,12.0,-1000
15,-82,15.0,-1000
16,186,66.0,-1000
17,-82,15.0,-1000
18,-101,12.0,-1000
19,-111,28.0,-1000
20,-487,100.0,-487
21,-101,12.0,-1000
22,-101,12.0,-1000
23,-82,15.0,-1000
24,-512,100.0,-512
25,-320,74.0,-1000
26,-492,100.0,-492
27,-101,12.0,-1000
28,-662,100.0,-662
29,-492,100.0,-492
30,-52,18.0,-1000
31,-92,16.0,-1000
32,14,35.0,-1000
33,174,100.0,174
34,363,54.0,-1000
35,-53,30.0,-1000
36,-91,26.0,-1000
37,-102,13.0,-1000
38,-82,15.0,-1000
39,-662,100.0,-662
40,-82,15.0,-1000
41,-722,100.0,-722
42,-662,100.0,-662
43,-101,12.0,-1000
44,558,100.0,558
45,-682,100.0,-682
46,-52,18.0,-1000
47,-682,100.0,-682
48,-101,12.0,-1000
49,-102,13.0,-1000
50,395,41.0,-1000
MEAN,-171.48,44.4,-852.94
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-450,100.0,-450
2,-64,19.0,-1000
3,-76,31.0,-1000
4,-69,24.0,-1000
5,-459,100.0,-459
6,-69,24.0,-1000
7,-72,27.0,-1000
8,-64,19.0,-1000
9,-70,25.0,-1000
10,-405,100.0,-405
11,-76,31.0,-1000
12,-75,19.0,-1000
13,-72,27.0,-1000
14,-82,26.0,-1000
15,-71,26.0,-1000
16,133,100.0,133
17,-225,100.0,-225
18,459,100.0,459
19,-405,100.0,-405
20,-468,100.0,-468
21,-70,25.0,-1000
22,-81,25.0,-1000
23,27,100.0,27
24,-486,100.0,-486
25,-459,100.0,-459
26,-12,55.0,-1000
27,-76,31.0,-1000
28,670,100.0,670
29,-79,23.0,-1000
30,-78,22.0,-1000
31,-69,24.0,-1000
32,-67,22.0,-1000
33,-64,19.0,-1000
34,302,100.0,302
35,-72,27.0,-1000
36,-78,22.0,-1000
37,-351,100.0,-351
38,-69,24.0,-1000
39,-64,19.0,-1000
40,-76,20.0,-1000
41,-459,100.0,-459
42,-71,26.0,-1000
43,210,100.0,210
44,-450,100.0,-450
45,-68,23.0,-1000
46,-67,22.0,-1000
47,-65,20.0,-1000
48,-73,28.0,-1000
49,-414,100.0,-414
50,-315,100.0,-315
MEAN,-114.08,53.5,-690.9
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,412,32.0,-1000
2,-136,14.0,-1000
3,-132,10.0,-1000
4,-132,10.0,-1000
5,-132,10.0,-1000
6,96,60.0,-1000
7,-132,10.0,-1000
8,-132,10.0,-1000
9,-762,100.0,-762
10,-132,10.0,-1000
11,62,67.0,-1000
12,116,58.0,-1000
13,-132,10.0,-1000
14,-132,10.0,-1000
15,-203,100.0,-203
16,36,66.0,-1000
17,-191,97.0,-1000
18,-132,10.0,-1000
19,466,23.0,-1000
20,-132,10.0,-1000
21,-132,10.0,-1000
22,-132,10.0,-1000
23,412,32.0,-1000
24,226,47.0,-1000
25,396,30.0,-1000
26,-61,96.0,-1000
27,411,35.0,-1000
28,436,26.0,-1000
29,-132,10.0,-1000
30,-132,10.0,-1000
31,-132,10.0,-1000
32,416,28.0,-1000
33,46,65.0,-1000
34,-132,10.0,-1000
35,-132,10.0,-1000
36,436,26.0,-1000
37,-550,100.0,-550
38,1616,22.0,1000
39,206,49.0,-1000
40,-132,10.0,-1000
41,-132,10.0,-1000
42,-532,100.0,-532
43,-762,100.0,-762
44,-132,10.0,-1000
45,-132,10.0,-1000
46,-132,10.0,-1000
47,-132,10.0,-1000
48,396,30.0,-1000
49,326,37.0,-1000
50,-4,70.0,-1000
MEAN,5.48,34.8,-916.18
WINS,1.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,29,94.0,-1000
2,-188,35.0,-1000
3,-106,56.0,-1000
4,140,63.0,-1000
5,4,72.0,-1000
6,602,87.0,-1000
7,-132,55.0,-1000
8,-32,45.0,-1000
9,-89,30.0,-1000
10,-139,62.0,-1000
11,-39,43.0,-1000
12,188,100.0,188
13,427,53.0,-1000
14,-192,39.0,-1000
15,-49,44.0,-1000
16,581,100.0,581
17,66,100.0,66
18,-272,69.0,-1000
19,296,100.0,296
20,22,36.0,-1000
21,20,73.0,-1000
22,43,74.0,-1000
23,22,36.0,-1000
24,431,58.0,-1000
25,-65,49.0,-1000
26,-23,65.0,-1000
27,-67,55.0,-1000
28,-140,34.0,-1000
29,-155,60.0,-1000
30,177,78.0,-1000
31,426,54.0,-1000
32,-101,51.0,-1000
33,28,92.0,-1000
34,-20,42.0,-1000
35,750,100.0,750
36,382,53.0,-1000
37,632,100.0,632
38,-166,62.0,-1000
39,204,100.0,204
40,32,58.0,-1000
41,-134,68.0,-1000
42,-98,57.0,-1000
43,-114,55.0,-1000
44,-45,51.0,-1000
45,10,79.0,-1000
46,147,100.0,147
47,519,83.0,-1000
48,-191,40.0,-1000
49,-96,70.0,-1000
50,38,52.0,-1000
MEAN,71.26,64.64,-782.72
WINS,0.0


Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos,Score
1,-120,9.0,-1000
2,-120,9.0,-1000
3,-120,9.0,-1000
4,-120,9.0,-1000
5,-120,9.0,-1000
6,-120,9.0,-1000
7,-120,9.0,-1000
8,-120,9.0,-1000
9,-120,9.0,-1000
10,601,100.0,601
11,798,100.0,798
12,-120,9.0,-1000
13,-120,9.0,-1000
14,-120,9.0,-1000
15,756,100.0,756
16,655,100.0,655
17,-120,9.0,-1000
18,-120,9.0,-1000
19,-120,9.0,-1000
20,-120,9.0,-1000
21,-120,9.0,-1000
22,-121,10.0,-1000
23,-120,9.0,-1000
24,655,100.0,655
25,844,100.0,844
26,-120,9.0,-1000
27,-120,9.0,-1000
28,-120,9.0,-1000
29,-120,9.0,-1000
30,-121,10.0,-1000
31,-120,9.0,-1000
32,-120,9.0,-1000
33,-120,9.0,-1000
34,-120,9.0,-1000
35,-120,9.0,-1000
36,-120,9.0,-1000
37,-120,9.0,-1000
38,-120,9.0,-1000
39,-120,9.0,-1000
40,691,100.0,691
41,691,100.0,691
42,-120,9.0,-1000
43,-120,9.0,-1000
44,-120,9.0,-1000
45,2188,41.0,1000
46,-120,9.0,-1000
47,-120,9.0,-1000
48,-120,9.0,-1000
49,-120,9.0,-1000
50,-120,9.0,-1000
MEAN,59.14,24.24,-686.18
WINS,1.0


,reward_M,step_M,score_M
TOTAL_MEANS,-29.936,44.315999999999995,-785.7839999999999
TOTAL_WINS,2.0
Win_MEAN,0.4
