TAREA: ZELDA_INVERSE_CL_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-246,100.0,-246
2,-488,100.0,-488
3,104,100.0,104
4,73,100.0,73
5,-160,100.0,-160
6,-176,22.0,-1000
7,-389,100.0,-389
8,-476,100.0,-476
9,-499,100.0,-499
10,-431,100.0,-431
11,-530,100.0,-530
12,218,100.0,218
13,-418,100.0,-418
14,-438,100.0,-438
15,-353,100.0,-353
16,-459,100.0,-459
17,-409,100.0,-409
18,73,100.0,73
19,-422,100.0,-422
20,-484,100.0,-484
21,-416,100.0,-416
22,283,100.0,283
23,-521,100.0,-521
24,145,100.0,145
25,179,100.0,179
26,-593,100.0,-593
27,-324,100.0,-324
28,-324,100.0,-324
29,-295,100.0,-295
30,-445,100.0,-445
31,-398,100.0,-398
32,-353,100.0,-353
33,-355,100.0,-355
34,-521,100.0,-521
35,-78,100.0,-78
36,-398,100.0,-398
37,-508,100.0,-508
38,-261,100.0,-261
39,-656,100.0,-656
40,-168,100.0,-168
41,-494,100.0,-494
42,-465,100.0,-465
43,-557,100.0,-557
44,-353,100.0,-353
45,-398,100.0,-398
46,-18,49.0,-1000
47,-476,100.0,-476
48,-362,100.0,-362
49,-346,100.0,-346
50,-237,27.0,-1000
MEAN,-312.46,95.96,-363.84
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,123,41.0,-1000
2,-42,19.0,-1000
3,676,100.0,676
4,-52,20.0,-1000
5,-62,17.0,-1000
6,-42,19.0,-1000
7,-22,21.0,-1000
8,-62,17.0,-1000
9,567,69.0,-1000
10,-42,19.0,-1000
11,-52,20.0,-1000
12,296,100.0,296
13,-62,17.0,-1000
14,-22,21.0,-1000
15,-87,30.0,-1000
16,-52,20.0,-1000
17,550,42.0,-1000
18,-50,90.0,-1000
19,69,40.0,-1000
20,42,45.0,-1000
21,-52,20.0,-1000
22,103,39.0,-1000
23,628,59.0,-1000
24,-62,17.0,-1000
25,-22,21.0,-1000
26,-22,21.0,-1000
27,14,29.0,-1000
28,81,39.0,-1000
29,494,30.0,-1000
30,-42,19.0,-1000
31,652,70.0,-1000
32,-72,18.0,-1000
33,699,76.0,-1000
34,-42,19.0,-1000
35,-62,17.0,-1000
36,590,77.0,-1000
37,590,75.0,-1000
38,-62,17.0,-1000
39,-56,22.0,-1000
40,9,49.0,-1000
41,617,70.0,-1000
42,-142,9.0,-1000
43,617,48.0,-1000
44,76,46.0,-1000
45,-22,21.0,-1000
46,-52,20.0,-1000
47,263,97.0,-1000
48,-42,19.0,-1000
49,-32,22.0,-1000
50,-82,19.0,-1000
MEAN,124.82,37.44,-940.56
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,65,100.0,65
2,-88,100.0,-88
3,-151,34.0,-1000
4,-40,100.0,-40
5,-154,100.0,-154
6,-61,100.0,-61
7,-172,14.0,-1000
8,-32,100.0,-32
9,-203,100.0,-203
10,-87,100.0,-87
11,-156,100.0,-156
12,-36,100.0,-36
13,-162,13.0,-1000
14,-97,100.0,-97
15,7,100.0,7
16,-170,38.0,-1000
17,49,100.0,49
18,-132,10.0,-1000
19,-98,100.0,-98
20,-254,33.0,-1000
21,-99,100.0,-99
22,-12,100.0,-12
23,-182,15.0,-1000
24,112,100.0,112
25,-135,100.0,-135
26,-48,100.0,-48
