TAREA: ZELDA_CL_INVERSE_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-109,100.0,-109
2,-118,100.0,-118
3,-100,100.0,-100
4,-109,100.0,-109
5,-118,100.0,-118
6,-127,100.0,-127
7,-100,100.0,-100
8,-118,100.0,-118
9,-100,100.0,-100
10,-118,100.0,-118
11,-100,100.0,-100
12,-118,100.0,-118
13,-100,100.0,-100
14,-109,100.0,-109
15,-100,100.0,-100
16,-109,100.0,-109
17,-109,100.0,-109
18,-109,100.0,-109
19,-109,100.0,-109
20,-136,100.0,-136
21,-109,100.0,-109
22,-127,100.0,-127
23,-109,100.0,-109
24,-100,100.0,-100
25,-127,100.0,-127
26,-118,100.0,-118
27,-100,100.0,-100
28,-127,100.0,-127
29,-127,100.0,-127
30,-100,100.0,-100
31,-127,100.0,-127
32,-127,100.0,-127
33,-136,100.0,-136
34,-127,100.0,-127
35,-109,100.0,-109
36,-100,100.0,-100
37,-109,100.0,-109
38,-118,100.0,-118
39,-100,100.0,-100
40,-109,100.0,-109
41,-109,100.0,-109
42,-127,100.0,-127
43,-109,100.0,-109
44,-109,100.0,-109
45,-127,100.0,-127
46,-109,100.0,-109
47,-127,100.0,-127
48,-100,100.0,-100
49,-154,100.0,-154
50,-109,100.0,-109
MEAN,-114.04,100.0,-114.04
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-61,16.0,-1000
2,34,100.0,34
3,34,100.0,34
4,-71,15.0,-1000
5,544,100.0,544
6,535,100.0,535
7,544,100.0,544
8,-61,16.0,-1000
9,23,100.0,23
10,-71,15.0,-1000
11,535,100.0,535
12,-61,16.0,-1000
13,-71,15.0,-1000
14,43,100.0,43
15,-81,16.0,-1000
16,25,100.0,25
17,544,100.0,544
18,5,100.0,5
19,-61,16.0,-1000
20,-61,16.0,-1000
21,-65,20.0,-1000
22,535,100.0,535
23,32,100.0,32
24,43,100.0,43
25,535,100.0,535
26,-61,16.0,-1000
27,-71,15.0,-1000
28,544,100.0,544
29,14,100.0,14
30,544,100.0,544
31,-61,16.0,-1000
32,25,100.0,25
33,544,100.0,544
34,-71,15.0,-1000
35,-61,16.0,-1000
36,-81,16.0,-1000
37,-81,16.0,-1000
38,34,100.0,34
39,535,100.0,535
40,-69,24.0,-1000
41,-71,15.0,-1000
42,-71,15.0,-1000
43,43,100.0,43
44,526,100.0,526
45,-65,20.0,-1000
46,43,100.0,43
47,54,100.0,54
48,-71,15.0,-1000
49,43,100.0,43
50,-61,16.0,-1000
MEAN,108.02,61.52,-320.8
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-100,100.0,-100
2,-100,100.0,-100
3,-100,100.0,-100
4,-100,100.0,-100
5,-100,100.0,-100
6,-100,100.0,-100
7,-100,100.0,-100
8,-100,100.0,-100
9,-100,100.0,-100
10,-100,100.0,-100
11,-100,100.0,-100
12,-100,100.0,-100
13,-100,100.0,-100
14,-100,100.0,-100
15,-100,100.0,-100
16,-100,100.0,-100
17,-100,100.0,-100
18,-100,100.0,-100
19,-100,100.0,-100
20,-100,100.0,-100
21,-100,100.0,-100
22,-100,100.0,-100
23,-100,100.0,-100
24,-100,100.0,-100
25,-100,100.0,-100
26,-100,100.0,-100
27,-100,100.0,-100
28,-100,100.0,-100
29,-100,100.0,-100
30,-100,100.0,-100
31,-100,100.0,-100
32,-100,100.0,-100
33,-100,100.0,-100
34,-100,100.0,-100
35,-100,100.0,-100
36,-100,100.0,-100
37,-100,100.0,-100
38,-100,100.0,-100
39,-100,100.0,-100
40,-100,100.0,-100
41,-100,100.0,-100
42,-100,100.0,-100
43,-100,100.0,-100
44,-100,100.0,-100
45,-100,100.0,-100
46,-100,100.0,-100
47,-100,100.0,-100
48,-100,100.0,-100
49,-100,100.0,-100
50,-100,100.0,-100
MEAN,-100.0,100.0,-100.0
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,25,100.0,25
2,32,100.0,32
3,43,100.0,43
4,34,100.0,34
5,32,100.0,32
6,43,100.0,43
7,43,100.0,43
8,34,100.0,34
9,23,100.0,23
10,32,100.0,32
11,7,100.0,7
12,21,100.0,21
13,21,100.0,21
14,21,100.0,21
15,16,100.0,16
16,43,100.0,43
17,34,100.0,34
18,7,100.0,7
19,34,100.0,34
20,-151,7.0,-1000
21,12,100.0,12
22,43,100.0,43
23,21,100.0,21
24,-2,100.0,-2
25,23,100.0,23
26,32,100.0,32
27,12,100.0,12
28,32,100.0,32
29,43,100.0,43
30,34,100.0,34
31,34,100.0,34
32,34,100.0,34
33,34,100.0,34
34,23,100.0,23
35,34,100.0,34
36,34,100.0,34
37,34,100.0,34
38,43,100.0,43
39,34,100.0,34
40,43,100.0,43
41,21,100.0,21
42,25,100.0,25
43,43,100.0,43
44,16,100.0,16
45,43,100.0,43
46,43,100.0,43
47,32,100.0,32
48,34,100.0,34
49,32,100.0,32
50,25,100.0,25
MEAN,26.1,98.14,9.12
WINS,0.0


Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos,Score
1,32,100.0,32
2,32,100.0,32
3,43,100.0,43
4,-121,10.0,-1000
5,10,100.0,10
6,43,100.0,43
7,10,100.0,10
8,-120,9.0,-1000
9,21,100.0,21
10,10,100.0,10
11,-12,100.0,-12
12,-120,9.0,-1000
13,32,100.0,32
14,10,100.0,10
15,32,100.0,32
16,32,100.0,32
17,10,100.0,10
18,10,100.0,10
19,10,100.0,10
20,21,100.0,21
21,-121,10.0,-1000
22,43,100.0,43
23,32,100.0,32
24,-120,9.0,-1000
25,21,100.0,21
26,32,100.0,32
27,-121,10.0,-1000
28,43,100.0,43
29,-121,10.0,-1000
30,32,100.0,32
31,21,100.0,21
32,21,100.0,21
33,10,100.0,10
34,21,100.0,21
35,-1,100.0,-1
36,32,100.0,32
37,21,100.0,21
38,32,100.0,32
