TAREA: ZELDA_CL_model_0


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-900,27
2,-740,35
3,-900,27
4,-820,31
5,-800,26
6,-720,37
7,-800,26
8,-840,21
9,-720,37
10,-800,26

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,830,101
2,830,101
3,830,101
4,790,101
5,830,101
6,830,101
7,840,101
8,290,101
9,820,101
10,830,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-980,4
2,-980,4
3,-980,4
4,-980,4
5,-980,4
6,-1080,5
7,-980,4
8,-980,4
9,-980,4
10,-980,4

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-940,8
2,-940,8
3,-890,15
4,-940,8
5,-940,8
6,-940,8
7,-940,8
8,-940,8
9,-840,24
10,-820,26

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-390,15
2,-390,15
3,-900,17
4,-370,22
5,-900,13
6,-370,18
7,-200,49
8,-800,38
9,-890,19
10,-390,15

