TAREA: ZELDA_CL_R_BETA_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,321,100.0,321
2,1729,83.0,1000
3,366,100.0,366
4,-191,100.0,-191
5,-315,100.0,-315
6,1404,82.0,1000
7,628,100.0,628
8,6,100.0,6
9,-86,60.0,-1000
10,225,100.0,225
11,333,100.0,333
12,451,100.0,451
13,1577,69.0,1000
14,480,100.0,480
15,1453,80.0,1000
16,594,100.0,594
17,344,100.0,344
18,-134,34.0,-1000
19,179,100.0,179
20,1702,44.0,1000
21,-174,40.0,-1000
22,1412,83.0,1000
23,1566,41.0,1000
24,-114,100.0,-114
25,-158,100.0,-158
26,-188,40.0,-1000
27,547,100.0,547
28,1557,72.0,1000
29,-2,100.0,-2
30,0,100.0,0
31,1594,70.0,1000
32,1573,34.0,1000
33,70,100.0,70
34,1660,53.0,1000
35,14,100.0,14
36,521,100.0,521
37,585,100.0,585
38,-133,22.0,-1000
39,600,100.0,600
40,541,100.0,541
41,-106,50.0,-1000
42,-179,100.0,-179
43,371,100.0,371
44,1532,43.0,1000
45,1654,70.0,1000
46,1558,53.0,1000
47,440,100.0,440
48,500,100.0,500
49,-192,100.0,-192
50,-21,42.0,-1000
MEAN,561.88,81.3,279.3
WINS,14.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,45,88.0,-1000
2,501,54.0,-1000
3,-65,20.0,-1000
4,-75,21.0,-1000
5,-47,37.0,-1000
6,-37,40.0,-1000
7,-283,62.0,-1000
8,-121,100.0,-121
9,-209,49.0,-1000
10,438,93.0,-1000
11,-61,27.0,-1000
12,-77,25.0,-1000
13,-6,40.0,-1000
14,507,54.0,-1000
15,-71,39.0,-1000
16,-90,27.0,-1000
17,646,100.0,646
18,36,62.0,-1000
19,11,45.0,-1000
20,1,55.0,-1000
21,-73,28.0,-1000
22,-237,41.0,-1000
23,197,79.0,-1000
24,-105,35.0,-1000
25,-275,52.0,-1000
26,-74,40.0,-1000
27,-31,30.0,-1000
28,-148,64.0,-1000
29,-1,76.0,-1000
30,-153,38.0,-1000
31,-80,68.0,-1000
32,-146,57.0,-1000
33,-83,35.0,-1000
34,-211,42.0,-1000
35,-104,72.0,-1000
