TAREA: ZELDA_CL_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,50,70.0,-1000
2,735,100.0,735
3,1628,28.0,1000
4,-211,24.0,-1000
5,-141,8.0,-1000
6,1641,48.0,1000
7,-122,11.0,-1000
8,1697,49.0,1000
9,252,100.0,252
10,-151,7.0,-1000
11,-127,16.0,-1000
12,1628,28.0,1000
13,-102,24.0,-1000
14,1614,20.0,1000
15,1648,30.0,1000
16,1660,40.0,1000
17,-141,8.0,-1000
18,10,66.0,-1000
19,1055,74.0,-1000
20,1677,34.0,1000
21,1646,32.0,1000
22,47,51.0,-1000
23,420,86.0,-1000
24,66,100.0,66
25,-141,8.0,-1000
26,1594,65.0,1000
27,-89,44.0,-1000
28,-141,8.0,-1000
29,-151,7.0,-1000
30,1761,60.0,1000
31,1755,66.0,1000
32,-169,35.0,-1000
33,-141,8.0,-1000
34,-141,8.0,-1000
35,-141,8.0,-1000
36,1614,20.0,1000
37,1637,30.0,1000
38,-69,35.0,-1000
39,1648,30.0,1000
40,-89,63.0,-1000
41,-141,8.0,-1000
42,-141,8.0,-1000
43,1633,34.0,1000
44,7,60.0,-1000
45,1695,38.0,1000
46,-129,18.0,-1000
47,-141,8.0,-1000
48,-141,8.0,-1000
49,-70,25.0,-1000
50,-141,8.0,-1000
MEAN,552.94,35.28,-238.94
WINS,17.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-213,100.0,-213
2,-191,46.0,-1000
3,165,100.0,165
4,523,100.0,523
5,-214,52.0,-1000
6,569,100.0,569
7,223,100.0,223
8,501,100.0,501
9,446,100.0,446
10,581,100.0,581
11,188,100.0,188
12,634,100.0,634
13,-106,100.0,-106
14,618,100.0,618
15,-239,61.0,-1000
16,488,100.0,488
17,-286,57.0,-1000
18,525,100.0,525
19,-262,100.0,-262
20,608,100.0,608
21,-157,100.0,-157
22,607,100.0,607
23,61,100.0,61
24,424,100.0,424
25,-234,50.0,-1000
26,-363,100.0,-363
27,134,100.0,134
28,-297,72.0,-1000
29,434,100.0,434
30,-24,100.0,-24
31,-236,48.0,-1000
32,467,100.0,467
33,-132,100.0,-132
34,431,100.0,431
35,456,100.0,456
36,-104,33.0,-1000
37,-333,93.0,-1000
38,-384,100.0,-384
39,559,100.0,559
40,-222,100.0,-222
41,570,100.0,570
42,506,100.0,506
43,682,100.0,682
44,-505,100.0,-505
45,250,100.0,250
46,-52,100.0,-52
47,-58,32.0,-1000
48,-103,20.0,-1000
49,-16,26.0,-1000
50,836,100.0,836
MEAN,155.1,87.8,-38.68
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-110,27.0,-1000
2,-136,14.0,-1000
3,254,100.0,254
4,-132,10.0,-1000
5,-181,4.0,-1000
6,-201,23.0,-1000
7,-132,10.0,-1000
8,1702,98.0,1000
9,-132,10.0,-1000
10,-181,4.0,-1000
11,-132,10.0,-1000
