TAREA: ZELDA_CL_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-153,9.0,-1000
2,390,22.0,-1000
3,1677,34.0,1000
4,-154,10.0,-1000
5,452,30.0,-1000
6,-124,17.0,-1000
7,-142,9.0,-1000
8,-134,18.0,-1000
9,-124,17.0,-1000
10,-152,8.0,-1000
11,-106,17.0,-1000
12,-153,9.0,-1000
13,-102,13.0,-1000
14,-104,15.0,-1000
15,-102,13.0,-1000
16,-106,17.0,-1000
17,-102,13.0,-1000
18,-154,10.0,-1000
19,-108,19.0,-1000
20,13,34.0,-1000
21,-156,12.0,-1000
22,-159,15.0,-1000
23,-154,10.0,-1000
24,-154,10.0,-1000
25,-152,8.0,-1000
26,-104,15.0,-1000
27,-102,13.0,-1000
28,-102,13.0,-1000
29,-144,11.0,-1000
30,-157,13.0,-1000
31,-152,8.0,-1000
32,35,30.0,-1000
33,-152,8.0,-1000
34,-102,13.0,-1000
35,-175,13.0,-1000
36,-152,8.0,-1000
37,-114,16.0,-1000
38,-152,8.0,-1000
39,-197,17.0,-1000
40,-152,8.0,-1000
41,-126,19.0,-1000
42,-153,9.0,-1000
43,-104,15.0,-1000
44,-152,8.0,-1000
45,-102,13.0,-1000
46,-102,13.0,-1000
47,-104,15.0,-1000
48,-102,13.0,-1000
49,-104,15.0,-1000
50,367,29.0,-1000
MEAN,-57.34,14.64,-960.0
WINS,1.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-61,16.0,-1000
2,650,83.0,-1000
3,74,35.0,-1000
4,100,42.0,-1000
5,681,61.0,-1000
6,628,63.0,-1000
7,585,60.0,-1000
8,-61,16.0,-1000
9,638,75.0,-1000
10,539,40.0,-1000
11,-486,67.0,-1000
12,152,67.0,-1000
13,560,61.0,-1000
14,524,31.0,-1000
15,45,77.0,-1000
16,570,62.0,-1000
17,593,78.0,-1000
18,623,79.0,-1000
19,130,58.0,-1000
20,1668,21.0,1000
21,1185,80.0,-1000
22,54,33.0,-1000
23,867,100.0,867
24,44,73.0,-1000
25,74,35.0,-1000
26,610,77.0,-1000
27,564,35.0,-1000
28,504,37.0,-1000
29,74,35.0,-1000
30,-61,16.0,-1000
31,118,57.0,-1000
32,-61,16.0,-1000
33,32,44.0,-1000
34,604,100.0,-1000
35,-71,15.0,-1000
36,556,56.0,-1000
37,-71,15.0,-1000
38,790,100.0,790
39,830,100.0,830
40,48,39.0,-1000
41,596,99.0,-1000
42,520,70.0,-1000
43,659,74.0,-1000
44,139,80.0,-1000
45,550,75.0,-1000
46,118,79.0,-1000
47,786,100.0,786
48,682,84.0,-1000
49,444,35.0,-1000
50,690,87.0,-1000
MEAN,400.52,58.76,-814.54
WINS,1.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-132,10.0,-1000
2,-15,27.0,-1000
3,-55,23.0,-1000
4,-18,45.0,-1000
5,-134,12.0,-1000
6,31,47.0,-1000
7,38,60.0,-1000
