TAREA: ZELDA_CL_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-98,41.0,-1000
2,-110,23.0,-1000
3,-127,16.0,-1000
4,-110,23.0,-1000
5,-120,24.0,-1000
6,-80,24.0,-1000
7,-29,41.0,-1000
8,-93,28.0,-1000
9,-77,48.0,-1000
10,-60,100.0,-60
11,-39,100.0,-39
12,-111,26.0,-1000
13,-102,32.0,-1000
14,-120,24.0,-1000
15,-130,25.0,-1000
16,-100,22.0,-1000
17,-110,23.0,-1000
18,-92,27.0,-1000
19,-39,42.0,-1000
20,-111,26.0,-1000
21,-62,28.0,-1000
22,-81,27.0,-1000
23,-111,26.0,-1000
24,-101,27.0,-1000
25,-36,54.0,-1000
26,-54,31.0,-1000
27,-50,29.0,-1000
28,-120,24.0,-1000
29,-167,20.0,-1000
30,-53,30.0,-1000
31,-71,26.0,-1000
32,-102,28.0,-1000
33,-123,33.0,-1000
34,-119,21.0,-1000
35,-122,30.0,-1000
36,-28,38.0,-1000
37,-91,24.0,-1000
38,-91,24.0,-1000
39,-65,100.0,-65
40,-101,25.0,-1000
41,-111,26.0,-1000
42,-71,26.0,-1000
43,-31,30.0,-1000
44,-70,52.0,-1000
45,-128,19.0,-1000
46,-92,27.0,-1000
47,-71,26.0,-1000
48,-127,16.0,-1000
49,-62,28.0,-1000
50,-20,43.0,-1000
MEAN,-87.78,33.06,-943.28
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,221,100.0,221
2,267,100.0,267
3,148,100.0,148
4,258,100.0,258
5,232,100.0,232
6,201,100.0,201
7,296,100.0,296
8,232,100.0,232
9,214,100.0,214
10,219,100.0,219
11,181,100.0,181
12,177,100.0,177
13,155,100.0,155
14,197,100.0,197
15,232,100.0,232
16,221,100.0,221
17,223,100.0,223
18,201,100.0,201
19,252,100.0,252
20,174,100.0,174
21,208,100.0,208
22,210,100.0,210
23,241,100.0,241
24,190,100.0,190
25,197,100.0,197
26,243,100.0,243
27,232,100.0,232
28,189,100.0,189
29,219,100.0,219
30,190,100.0,190
31,219,100.0,219
32,252,100.0,252
33,208,100.0,208
34,210,100.0,210
35,234,100.0,234
36,241,100.0,241
37,214,100.0,214
38,137,100.0,137
39,267,100.0,267
40,245,100.0,245
41,221,100.0,221
42,201,100.0,201
43,210,100.0,210
44,219,100.0,219
45,274,100.0,274
46,186,100.0,186
47,230,100.0,230
48,179,100.0,179
49,209,100.0,209
50,177,100.0,177
MEAN,215.06,100.0,215.06
WINS,0.0


Mapa 2: zelda_2.txt
