TAREA: ZELDA_UPPERBOUND


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,1609,14.0,1000
2,1609,14.0,1000
3,1609,14.0,1000
4,13,30.0,-1000
5,26,28.0,-1000
6,6,48.0,-1000
7,26,28.0,-1000
8,1609,14.0,1000
9,1609,14.0,1000
10,-14,24.0,-1000
11,76,100.0,76
12,22,32.0,-1000
13,1609,14.0,1000
14,1609,14.0,1000
15,22,32.0,-1000
16,1609,14.0,1000
17,26,28.0,-1000
18,-14,24.0,-1000
19,1609,14.0,1000
20,1609,14.0,1000
21,-14,24.0,-1000
22,26,28.0,-1000
23,1609,14.0,1000
24,1609,14.0,1000
25,1609,14.0,1000
26,26,28.0,-1000
27,1609,14.0,1000
28,1609,14.0,1000
29,1609,14.0,1000
30,1609,14.0,1000
31,22,32.0,-1000
32,1609,14.0,1000
33,22,32.0,-1000
34,1609,14.0,1000
35,105,100.0,105
36,14,40.0,-1000
37,1609,14.0,1000
38,-14,24.0,-1000
39,1609,14.0,1000
40,54,100.0,54
41,76,100.0,76
42,76,100.0,76
43,56,100.0,56
44,22,32.0,-1000
45,-18,28.0,-1000
46,1609,14.0,1000
47,76,100.0,76
48,1609,14.0,1000
49,1609,14.0,1000
50,291,100.0,291
MEAN,792.5,33.56,136.2
WINS,24.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-84,61.0,-1000
2,-99,65.0,-1000
3,-27,28.0,-1000
4,-144,11.0,-1000
5,-162,20.0,-1000
6,-101,58.0,-1000
7,-94,71.0,-1000
8,-130,74.0,-1000
9,-152,19.0,-1000
10,-91,57.0,-1000
11,-18,28.0,-1000
12,-145,12.0,-1000
13,-88,54.0,-1000
14,-144,11.0,-1000
15,-137,17.0,-1000
16,-146,13.0,-1000
17,-41,40.0,-1000
18,-144,11.0,-1000
19,-144,11.0,-1000
20,-145,12.0,-1000
21,-146,13.0,-1000
22,-145,12.0,-1000
23,-144,11.0,-1000
24,-162,20.0,-1000
25,-154,21.0,-1000
26,-154,12.0,-1000
27,-144,11.0,-1000
28,-154,12.0,-1000
29,-88,21.0,-1000
30,-144,11.0,-1000
31,-145,12.0,-1000
32,-154,12.0,-1000
33,-154,12.0,-1000
34,-144,11.0,-1000
35,-102,61.0,-1000
36,-144,11.0,-1000
37,-144,11.0,-1000
38,-144,11.0,-1000
39,-100,55.0,-1000
40,-118,73.0,-1000
41,-37,25.0,-1000
42,-144,11.0,-1000
43,-98,53.0,-1000
44,-107,53.0,-1000
45,-103,49.0,-1000
46,-144,11.0,-1000
47,-110,56.0,-1000
48,-50,38.0,-1000
49,-100,66.0,-1000
50,-66,54.0,-1000
MEAN,-119.58,30.04,-1000.0
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-181,4.0,-1000
2,-181,4.0,-1000
3,-181,4.0,-1000
4,-181,4.0,-1000
5,-181,4.0,-1000
6,-181,4.0,-1000
7,-181,4.0,-1000
8,-181,4.0,-1000
9,-181,4.0,-1000
10,-181,4.0,-1000
11,-181,4.0,-1000
12,-181,4.0,-1000
13,-181,4.0,-1000
14,-181,4.0,-1000
15,-181,4.0,-1000
16,-181,4.0,-1000
17,-181,4.0,-1000
18,-181,4.0,-1000
19,-181,4.0,-1000
20,-181,4.0,-1000
21,-181,4.0,-1000
22,-181,4.0,-1000
23,-181,4.0,-1000
24,-181,4.0,-1000
25,-181,4.0,-1000
26,-181,4.0,-1000
27,-181,4.0,-1000
28,-181,4.0,-1000
29,-181,4.0,-1000
30,-181,4.0,-1000
31,-181,4.0,-1000
32,-181,4.0,-1000
33,-181,4.0,-1000
34,-181,4.0,-1000
35,-181,4.0,-1000
36,-181,4.0,-1000
37,-181,4.0,-1000
38,-181,4.0,-1000
39,-181,4.0,-1000
40,-181,4.0,-1000
41,-181,4.0,-1000
42,-181,4.0,-1000
43,-181,4.0,-1000
44,-181,4.0,-1000
45,-181,4.0,-1000
46,-181,4.0,-1000
47,-181,4.0,-1000
48,-181,4.0,-1000
49,-181,4.0,-1000
50,-181,4.0,-1000
MEAN,-181.0,4.0,-1000.0
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,592,62.0,-1000
2,468,32.0,-1000
3,468,32.0,-1000
4,495,40.0,-1000
5,621,100.0,621
6,-132,10.0,-1000
7,-153,20.0,-1000
8,621,100.0,621
9,654,100.0,654
10,654,100.0,654
11,643,100.0,643
12,731,100.0,731
13,1633,23.0,1000
14,510,55.0,-1000
15,621,100.0,621
16,468,32.0,-1000
17,621,100.0,621
18,584,48.0,-1000
19,359,70.0,-1000
20,643,100.0,643
21,621,100.0,621
22,1633,23.0,1000
23,621,100.0,621
24,479,32.0,-1000
25,1647,31.0,1000
26,451,27.0,-1000
27,632,100.0,632
28,1651,27.0,1000
29,649,100.0,649
30,-132,10.0,-1000
31,488,34.0,-1000
32,-149,16.0,-1000
33,497,36.0,-1000
34,1651,27.0,1000
35,497,36.0,-1000
