TAREA: ZELDA_INVERSE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-19,100.0,-19
2,505,100.0,505
3,-64,100.0,-64
4,-95,100.0,-95
5,-110,100.0,-110
6,-100,22.0,-1000
7,-119,30.0,-1000
8,-176,100.0,-176
9,-89,100.0,-89
10,-176,100.0,-176
11,-167,100.0,-167
12,574,100.0,574
13,-124,100.0,-124
14,10,100.0,10
15,-32,100.0,-32
16,-46,100.0,-46
17,-141,8.0,-1000
18,-32,100.0,-32
19,-141,8.0,-1000
20,-21,100.0,-21
21,-78,100.0,-78
22,-135,100.0,-135
23,-141,8.0,-1000
24,-176,100.0,-176
25,-141,8.0,-1000
26,19,100.0,19
27,-141,8.0,-1000
28,-138,100.0,-138
29,-21,100.0,-21
30,-52,100.0,-52
31,-118,18.0,-1000
32,21,100.0,21
33,-53,100.0,-53
34,-84,100.0,-84
35,-108,100.0,-108
36,29,100.0,29
37,44,100.0,44
38,473,100.0,473
39,-82,100.0,-82
40,-194,100.0,-194
41,-109,20.0,-1000
42,-13,100.0,-13
43,-77,100.0,-77
44,-93,100.0,-93
45,-132,100.0,-132
46,-100,100.0,-100
47,-110,23.0,-1000
48,-95,100.0,-95
49,-53,100.0,-53
50,-77,100.0,-77
MEAN,-49.96,83.06,-224.74
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-93,19.0,-1000
2,-83,18.0,-1000
3,-83,18.0,-1000
4,-93,19.0,-1000
5,-123,22.0,-1000
6,-113,21.0,-1000
7,-123,22.0,-1000
8,-93,19.0,-1000
9,-153,25.0,-1000
10,-83,18.0,-1000
11,-83,18.0,-1000
12,-133,23.0,-1000
13,-113,21.0,-1000
14,-155,27.0,-1000
15,-113,21.0,-1000
16,-133,23.0,-1000
17,-123,22.0,-1000
18,-83,18.0,-1000
19,-133,23.0,-1000
20,-124,23.0,-1000
21,-113,21.0,-1000
22,-83,18.0,-1000
23,-83,18.0,-1000
24,-115,23.0,-1000
25,-113,21.0,-1000
26,-113,21.0,-1000
27,-134,24.0,-1000
28,-83,18.0,-1000
29,-93,19.0,-1000
30,-83,18.0,-1000
31,-123,22.0,-1000
32,-134,24.0,-1000
33,-103,20.0,-1000
34,-73,17.0,-1000
35,-103,20.0,-1000
36,-123,22.0,-1000
37,-93,19.0,-1000
38,-133,23.0,-1000
39,-93,19.0,-1000
40,-93,19.0,-1000
41,-133,23.0,-1000
42,-113,21.0,-1000
43,-183,28.0,-1000
44,-123,22.0,-1000
45,-123,22.0,-1000
46,-93,19.0,-1000
47,-154,26.0,-1000
48,-103,20.0,-1000
49,-103,20.0,-1000
50,-113,21.0,-1000
MEAN,-111.16,20.96,-1000.0
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-178,100.0,-178
2,-191,100.0,-191
3,-236,100.0,-236
4,-252,100.0,-252
5,-299,100.0,-299
6,-335,100.0,-335
7,-335,100.0,-335
8,-256,100.0,-256
9,-364,100.0,-364
10,-413,100.0,-413
11,-380,100.0,-380
12,-233,100.0,-233
13,-151,100.0,-151
14,-317,100.0,-317
15,-211,100.0,-211
16,-281,100.0,-281
17,-418,100.0,-418
18,-436,100.0,-436
19,-452,100.0,-452
20,-288,100.0,-288
21,-78,100.0,-78
22,-142,11.0,-1000
23,-255,100.0,-255
24,-281,100.0,-281
25,-301,100.0,-301
26,-288,100.0,-288
27,-373,100.0,-373
28,-337,100.0,-337
29,-335,100.0,-335
30,-185,100.0,-185
31,-193,100.0,-193
32,-317,100.0,-317
33,-351,100.0,-351
34,-409,100.0,-409
35,-355,100.0,-355
36,-277,100.0,-277
37,-256,100.0,-256
38,-91,100.0,-91
39,-207,100.0,-207
40,-353,100.0,-353
41,-265,100.0,-265
42,-132,10.0,-1000
43,-321,100.0,-321
44,-218,100.0,-218
45,-288,100.0,-288
46,-238,100.0,-238
47,-324,100.0,-324
48,-117,100.0,-117
49,-198,100.0,-198
50,-132,10.0,-1000
MEAN,-272.86,94.62,-324.74
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-677,100.0,-677
2,-668,100.0,-668
3,-704,100.0,-704
4,-659,100.0,-659
5,-704,100.0,-704
6,-614,100.0,-614
7,-668,100.0,-668
8,-650,100.0,-650
9,-704,100.0,-704
10,-704,100.0,-704
11,-668,100.0,-668
12,-641,100.0,-641
13,-578,100.0,-578
14,-695,100.0,-695
15,-551,100.0,-551
16,-695,100.0,-695
17,-677,100.0,-677
18,-632,100.0,-632
19,-695,100.0,-695
20,-650,100.0,-650
21,-668,100.0,-668
22,-668,100.0,-668
23,-668,100.0,-668
24,-704,100.0,-704
25,-677,100.0,-677
26,-704,100.0,-704
27,-704,100.0,-704
28,-704,100.0,-704
29,-677,100.0,-677
30,-668,100.0,-668
31,-704,100.0,-704
32,-659,100.0,-659
33,-704,100.0,-704
34,-677,100.0,-677
35,-668,100.0,-668
36,-603,100.0,-603
37,-614,100.0,-614
38,-704,100.0,-704
39,-668,100.0,-668
40,-704,100.0,-704
41,-704,100.0,-704
42,-668,100.0,-668
43,-641,100.0,-641
44,-668,100.0,-668
45,-614,100.0,-614
46,-641,100.0,-641
47,-677,100.0,-677
48,-668,100.0,-668
49,-641,100.0,-641
50,-704,100.0,-704
MEAN,-668.14,100.0,-668.14
WINS,0.0


Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos,Score
1,-120,9.0,-1000
2,-120,9.0,-1000
3,-120,9.0,-1000
4,-120,9.0,-1000
5,-120,9.0,-1000
6,-120,9.0,-1000
7,-120,9.0,-1000
8,-120,9.0,-1000
9,-120,9.0,-1000
10,-120,9.0,-1000
11,-120,9.0,-1000
12,-120,9.0,-1000
13,-120,9.0,-1000
14,-120,9.0,-1000
15,-120,9.0,-1000
16,-120,9.0,-1000
17,-120,9.0,-1000
18,-120,9.0,-1000
19,-120,9.0,-1000
20,-120,9.0,-1000
21,-120,9.0,-1000
22,-120,9.0,-1000
23,-120,9.0,-1000
24,-120,9.0,-1000
25,-120,9.0,-1000
26,-120,9.0,-1000
27,-120,9.0,-1000
28,-120,9.0,-1000
29,-120,9.0,-1000
30,-120,9.0,-1000
31,-120,9.0,-1000
32,-120,9.0,-1000
33,-120,9.0,-1000
34,-120,9.0,-1000
35,-120,9.0,-1000
36,-120,9.0,-1000
37,-120,9.0,-1000
