TAREA: ZELDA_REPTILE_INVERSE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-122,15.0,-1000
2,510,69.0,-1000
3,-35,36.0,-1000
4,-142,9.0,-1000
5,-183,49.0,-1000
6,-233,54.0,-1000
7,518,53.0,-1000
8,-175,52.0,-1000
9,-165,100.0,-165
10,-104,44.0,-1000
11,-54,39.0,-1000
12,-98,47.0,-1000
13,421,62.0,-1000
14,-149,58.0,-1000
15,384,65.0,-1000
16,-506,91.0,-1000
17,596,53.0,-1000
18,-133,44.0,-1000
19,-95,38.0,-1000
20,451,55.0,-1000
21,24,100.0,24
22,329,96.0,-1000
23,115,100.0,115
24,37,51.0,-1000
25,-293,50.0,-1000
26,1609,14.0,1000
27,-298,59.0,-1000
28,-54,35.0,-1000
29,-40,100.0,-1000
30,-193,50.0,-1000
31,455,23.0,-1000
32,-117,19.0,-1000
33,-144,73.0,-1000
34,-488,74.0,-1000
35,-74,41.0,-1000
36,1606,17.0,1000
37,553,43.0,-1000
38,-105,43.0,-1000
39,-177,44.0,-1000
40,1656,46.0,1000
41,-178,55.0,-1000
42,95,91.0,-1000
43,-218,58.0,-1000
44,-68,25.0,-1000
45,-55,29.0,-1000
46,-85,37.0,-1000
47,-28,40.0,-1000
48,40,50.0,-1000
49,-163,47.0,-1000
50,-142,17.0,-1000
MEAN,85.7,51.2,-820.52
WINS,3.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-82,19.0,-1000
2,555,65.0,-1000
3,-202,15.0,-1000
4,-32,22.0,-1000
5,63,35.0,-1000
6,-72,22.0,-1000
7,-82,19.0,-1000
8,-102,21.0,-1000
9,-292,24.0,-1000
10,-352,30.0,-1000
11,15,43.0,-1000
12,350,100.0,-1000
13,-202,73.0,-1000
14,822,100.0,822
15,-61,16.0,-1000
16,1578,30.0,1000
17,-36,47.0,-1000
18,-33,51.0,-1000
19,88,47.0,-1000
20,1710,55.0,1000
21,-132,24.0,-1000
22,-108,31.0,-1000
23,-172,20.0,-1000
24,-72,18.0,-1000
25,51,42.0,-1000
26,-82,19.0,-1000
27,-72,18.0,-1000
28,439,63.0,-1000
29,-22,21.0,-1000
30,-1,33.0,-1000
31,-62,25.0,-1000
32,-42,19.0,-1000
33,-49,45.0,-1000
34,-22,21.0,-1000
35,-141,8.0,-1000
36,530,59.0,-1000
37,-141,8.0,-1000
38,-42,23.0,-1000
39,-90,25.0,-1000
40,1530,42.0,1000
41,-212,16.0,-1000
42,-63,35.0,-1000
43,-492,44.0,-1000
44,-141,8.0,-1000
45,214,100.0,214
46,-72,18.0,-1000
47,-141,8.0,-1000
48,68,68.0,-1000
49,-102,21.0,-1000
50,-102,13.0,-1000
MEAN,77.8,34.58,-819.28
WINS,3.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-193,7.0,-1000
2,-154,14.0,-1000
3,-135,15.0,-1000
4,-166,17.0,-1000
5,-191,5.0,-1000
6,-183,6.0,-1000
7,-87,20.0,-1000
8,-195,9.0,-1000
9,-143,12.0,-1000
10,-152,12.0,-1000
11,-181,4.0,-1000
12,-123,25.0,-1000
13,-144,13.0,-1000
14,665,100.0,665
15,-172,23.0,-1000
16,490,40.0,-1000
17,-142,11.0,-1000
18,-144,13.0,-1000
19,-132,10.0,-1000
20,-142,11.0,-1000
21,-95,19.0,-1000
22,-142,11.0,-1000
23,-156,16.0,-1000
24,-132,10.0,-1000
25,-142,11.0,-1000
26,462,27.0,-1000
27,-201,6.0,-1000
28,-136,14.0,-1000
29,-148,17.0,-1000
30,-83,16.0,-1000
31,-164,15.0,-1000
32,-166,17.0,-1000
33,-69,30.0,-1000
34,-191,5.0,-1000
35,-145,14.0,-1000
36,-134,12.0,-1000
37,-132,10.0,-1000
38,-162,13.0,-1000
39,-132,10.0,-1000
40,-144,13.0,-1000
41,-154,14.0,-1000
42,-144,13.0,-1000
43,-181,4.0,-1000
44,-142,11.0,-1000
45,-142,11.0,-1000
46,-174,10.0,-1000
47,-143,12.0,-1000
48,-181,4.0,-1000
49,-191,5.0,-1000
50,-154,14.0,-1000
MEAN,-108.84,15.02,-966.7
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-141,8.0,-1000
2,-151,7.0,-1000
3,-61,68.0,-1000
4,40,42.0,-1000
5,-284,39.0,-1000
6,974,100.0,974
7,463,78.0,-1000
8,624,100.0,624
9,-96,20.0,-1000
10,-102,13.0,-1000
11,668,100.0,668
12,-82,15.0,-1000
13,562,100.0,562
14,-151,7.0,-1000
15,288,100.0,288
16,-60,26.0,-1000
17,-151,7.0,-1000
18,630,100.0,630
19,526,100.0,526
20,-106,100.0,-106
21,-13,23.0,-1000
22,46,83.0,-1000
23,-82,15.0,-1000
24,-68,23.0,-1000
25,-141,8.0,-1000
