TAREA: FIND_KEY_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos,Score
1,355,100.0,355
2,1198,42.0,1000
3,1178,44.0,1000
4,1168,41.0,1000
5,1207,40.0,1000
6,1208,41.0,1000
7,1230,50.0,1000
8,397,100.0,397
9,1229,36.0,1000
10,1346,66.0,1000
11,1201,33.0,1000
12,1176,42.0,1000
13,406,100.0,406
14,1227,38.0,1000
15,381,100.0,381
16,1148,43.0,1000
17,394,100.0,394
18,1226,41.0,1000
19,1239,68.0,1000
20,297,100.0,297
21,1229,36.0,1000
22,331,100.0,331
23,324,100.0,324
24,351,100.0,351
25,395,100.0,395
26,1187,42.0,1000
27,253,100.0,253
28,1247,40.0,1000
29,1186,45.0,1000
30,1216,42.0,1000
31,288,100.0,288
32,280,100.0,280
33,1227,38.0,1000
34,353,100.0,353
35,1238,38.0,1000
36,1247,40.0,1000
37,330,100.0,330
38,239,100.0,239
39,1207,36.0,1000
40,379,100.0,379
41,364,100.0,364
42,1243,65.0,1000
43,1250,48.0,1000
44,373,100.0,373
45,1237,41.0,1000
46,348,100.0,348
47,357,100.0,357
48,1145,23.0,1000
49,353,100.0,353
50,346,100.0,346
MEAN,814.68,69.18,697.88
WINS,27.0


Mapa 1: key_1.txt
Episodio,TotalReward,Pasos,Score
1,1360,67.0,1000
2,1346,55.0,1000
3,461,100.0,461
4,1258,46.0,1000
5,1424,85.0,1000
6,432,100.0,432
7,1259,43.0,1000
8,1287,46.0,1000
9,331,100.0,331
10,1108,18.0,1000
11,310,100.0,310
12,1278,44.0,1000
13,1269,42.0,1000
14,1346,68.0,1000
15,352,100.0,352
16,1232,58.0,1000
17,1354,45.0,1000
18,1260,40.0,1000
19,1250,58.0,1000
20,1344,66.0,1000
21,507,100.0,507
22,1220,40.0,1000
23,399,100.0,399
24,342,100.0,342
25,1249,40.0,1000
26,1269,42.0,1000
27,1306,40.0,1000
28,1230,43.0,1000
29,419,100.0,419
30,414,100.0,414
31,1334,67.0,1000
32,428,100.0,428
33,1250,41.0,1000
34,1389,87.0,1000
35,1419,66.0,1000
36,1362,63.0,1000
37,1326,38.0,1000
38,1388,70.0,1000
39,1354,65.0,1000
40,463,100.0,463
41,445,100.0,445
42,327,100.0,327
43,500,100.0,500
44,1379,75.0,1000
45,1336,41.0,1000
46,1171,34.0,1000
47,1092,25.0,1000
48,1286,62.0,1000
49,1409,67.0,1000
50,1302,72.0,1000
MEAN,1031.52,67.18,822.6
WINS,35.0


Mapa 2: key_2.txt
Episodio,TotalReward,Pasos,Score
1,282,100.0,282
2,352,100.0,352
3,386,100.0,386
4,366,100.0,366
5,340,100.0,340
6,354,100.0,354
7,122,100.0,122
8,412,100.0,412
9,373,100.0,373
10,319,100.0,319
11,299,100.0,299
12,395,100.0,395
13,249,100.0,249
14,430,100.0,430
15,247,100.0,247
16,226,100.0,226
17,226,100.0,226
18,397,100.0,397
19,342,100.0,342
20,395,100.0,395
21,220,100.0,220
22,340,100.0,340
23,302,100.0,302
24,333,100.0,333
25,406,100.0,406
26,321,100.0,321
27,253,100.0,253
28,305,100.0,305
29,357,100.0,357
30,293,100.0,293
31,364,100.0,364
32,130,100.0,130
33,293,100.0,293
34,284,100.0,284
35,206,100.0,206
36,329,100.0,329
37,324,100.0,324
38,388,100.0,388
39,394,100.0,394
