TAREA: FIND_KEY_R_BETA_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos,Score
1,-170,100.0,-170
2,94,100.0,94
3,-277,100.0,-277
4,-6,100.0,-6
5,48,100.0,48
6,-311,100.0,-311
7,36,100.0,36
8,163,100.0,163
9,-49,100.0,-49
10,996,89.0,1000
11,872,77.0,1000
12,11,100.0,11
13,-152,100.0,-152
14,28,100.0,28
15,-253,100.0,-253
16,60,100.0,60
17,1106,53.0,1000
18,142,100.0,142
19,150,100.0,150
20,-470,100.0,-470
MEAN,100.9,95.95,102.2
WINS,3.0


Mapa 1: key_1.txt
Episodio,TotalReward,Pasos,Score
1,1137,42.0,1000
2,-123,100.0,-123
3,112,100.0,112
4,1053,87.0,1000
5,-1,100.0,-1
6,118,100.0,118
7,54,100.0,54
8,120,100.0,120
9,1199,70.0,1000
10,67,100.0,67
11,919,80.0,1000
12,69,100.0,69
13,-114,100.0,-114
14,-12,100.0,-12
15,1080,50.0,1000
16,24,100.0,24
17,72,100.0,72
18,139,100.0,139
19,-8,100.0,-8
20,117,100.0,117
MEAN,301.1,91.45,281.7
WINS,5.0


Mapa 2: key_2.txt
Episodio,TotalReward,Pasos,Score
1,92,100.0,92
2,39,100.0,39
3,-116,100.0,-116
4,-97,100.0,-97
5,10,100.0,10
6,40,100.0,40
7,1081,38.0,1000
8,52,100.0,52
9,67,100.0,67
10,-18,100.0,-18
11,-42,100.0,-42
12,25,100.0,25
13,183,100.0,183
14,-32,100.0,-32
15,-99,100.0,-99
16,-80,100.0,-80
17,-119,100.0,-119
18,176,100.0,176
19,50,100.0,50
20,2,100.0,2
MEAN,60.7,96.9,56.65
WINS,1.0


Mapa 3: key_3.txt
Episodio,TotalReward,Pasos,Score
1,1036,54.0,1000
2,-84,100.0,-84
3,22,100.0,22
4,192,100.0,192
5,-22,100.0,-22
6,-173,100.0,-173
7,-151,100.0,-151
8,121,100.0,121
9,1113,83.0,1000
10,115,100.0,115
11,154,100.0,154
12,1167,90.0,1000
13,-148,100.0,-148
14,1089,91.0,1000
15,1009,91.0,1000
16,1074,28.0,1000
17,-101,100.0,-101
18,5,100.0,5
19,162,100.0,162
20,115,100.0,115
MEAN,334.75,91.85,310.35
WINS,6.0


Mapa 4: key_4.txt
Episodio,TotalReward,Pasos,Score
1,-32,100.0,-32
2,1031,72.0,1000
3,-11,100.0,-11
4,119,100.0,119
5,9,100.0,9
6,-122,100.0,-122
7,-79,100.0,-79
8,-157,100.0,-157
9,12,100.0,12
10,-18,100.0,-18
11,71,100.0,71
12,65,100.0,65
13,-221,100.0,-221
14,8,100.0,8
15,-155,100.0,-155
16,230,100.0,230
17,17,100.0,17
18,-30,100.0,-30
19,-145,100.0,-145
20,1002,56.0,1000
MEAN,79.7,96.4,78.05
WINS,2.0


,reward_M,step_M,score_M
TOTAS_MEANS,175.43,94.50999999999999,165.79
TOTAL_WINS,17.0
Win_MEAN,3.4
