TAREA: FIND_KEY_REPTILE_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos,Score
1,1129,72.0,1000
2,13,100.0,13
3,1072,25.0,1000
4,997,35.0,1000
5,22,100.0,22
6,1192,96.0,1000
7,1144,37.0,1000
8,62,100.0,62
9,1009,57.0,1000
10,1146,71.0,1000
11,-14,100.0,-14
12,-39,100.0,-39
13,1009,89.0,1000
14,1090,23.0,1000
15,1025,40.0,1000
16,-203,100.0,-203
17,1051,88.0,1000
18,1102,22.0,1000
19,-42,100.0,-42
20,16,100.0,16
MEAN,639.05,72.75,590.75
WINS,12.0


Mapa 1: key_1.txt
Episodio,TotalReward,Pasos,Score
1,66,100.0,66
2,1093,18.0,1000
3,147,100.0,147
4,140,100.0,140
5,1107,85.0,1000
6,-203,100.0,-203
7,29,100.0,29
8,308,100.0,308
9,20,100.0,20
10,-106,100.0,-106
11,-59,100.0,-59
12,1106,16.0,1000
13,1096,30.0,1000
14,-64,100.0,-64
15,87,100.0,87
16,116,100.0,116
17,-43,100.0,-43
18,-47,100.0,-47
19,28,100.0,28
20,1257,54.0,1000
MEAN,303.9,85.15,270.95
WINS,5.0


Mapa 2: key_2.txt
Episodio,TotalReward,Pasos,Score
1,96,100.0,96
2,-70,100.0,-70
3,-67,100.0,-67
4,89,100.0,89
5,-110,100.0,-110
6,83,100.0,83
7,-77,100.0,-77
8,10,100.0,10
9,-10,100.0,-10
10,111,100.0,111
11,-152,100.0,-152
12,-172,100.0,-172
13,-21,100.0,-21
14,-7,100.0,-7
15,-212,100.0,-212
16,-88,100.0,-88
17,-56,100.0,-56
18,179,100.0,179
19,898,74.0,1000
20,-219,100.0,-219
MEAN,10.25,98.7,15.35
WINS,1.0


Mapa 3: key_3.txt
Episodio,TotalReward,Pasos,Score
1,1118,19.0,1000
2,45,100.0,45
3,238,100.0,238
4,129,100.0,129
5,80,100.0,80
6,975,37.0,1000
7,1073,16.0,1000
8,1073,16.0,1000
9,255,100.0,255
10,119,100.0,119
11,76,100.0,76
12,1068,12.0,1000
13,88,100.0,88
14,166,100.0,166
15,106,100.0,106
16,-223,100.0,-223
17,87,100.0,87
18,91,100.0,91
19,1145,55.0,1000
20,54,100.0,54
MEAN,388.15,77.75,365.55
WINS,6.0


Mapa 4: key_4.txt
Episodio,TotalReward,Pasos,Score
1,1074,69.0,1000
2,216,100.0,216
3,1113,70.0,1000
4,-75,100.0,-75
5,114,100.0,114
6,84,100.0,84
7,-94,100.0,-94
8,68,100.0,68
9,1012,73.0,1000
10,1081,46.0,1000
11,-98,100.0,-98
12,255,100.0,255
13,1063,31.0,1000
14,1271,51.0,1000
15,43,100.0,43
16,1120,54.0,1000
17,63,100.0,63
18,1140,99.0,1000
19,83,100.0,83
20,18,100.0,18
MEAN,477.55,84.65,433.85
WINS,8.0


,reward_M,step_M,score_M
TOTAS_MEANS,363.78,83.8,335.2900000000001
TOTAL_WINS,32.0
Win_MEAN,6.4
