TAREA: ZELDA_SIMPLE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-167,20.0,-1000
2,-97,23.0,-1000
3,-218,28.0,-1000
4,-126,23.0,-1000
5,-167,20.0,-1000
6,-109,20.0,-1000
7,-78,24.0,-1000
8,-187,22.0,-1000
9,-117,25.0,-1000
10,-98,26.0,-1000
11,-78,24.0,-1000
12,-69,26.0,-1000
13,-77,21.0,-1000
14,-148,21.0,-1000
15,-118,18.0,-1000
16,-77,21.0,-1000
17,-137,17.0,-1000
18,-98,26.0,-1000
19,-88,25.0,-1000
20,-88,25.0,-1000
21,-147,18.0,-1000
22,-78,24.0,-1000
23,-68,23.0,-1000
24,-88,25.0,-1000
25,-78,24.0,-1000
26,-138,20.0,-1000
27,-179,39.0,-1000
28,-77,21.0,-1000
29,-118,18.0,-1000
30,-197,23.0,-1000
31,-148,21.0,-1000
32,-107,24.0,-1000
33,-129,22.0,-1000
34,-167,20.0,-1000
35,-88,25.0,-1000
36,-68,23.0,-1000
37,-196,20.0,-1000
38,-148,21.0,-1000
39,-147,18.0,-1000
40,-49,26.0,-1000
41,-87,22.0,-1000
42,-128,19.0,-1000
43,-87,22.0,-1000
44,-178,24.0,-1000
45,-118,28.0,-1000
46,-96,20.0,-1000
47,-259,47.0,-1000
48,-128,19.0,-1000
49,-278,46.0,-1000
50,-128,19.0,-1000
MEAN,-124.88,23.52,-1000.0
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,307,100.0,307
2,285,100.0,285
3,318,100.0,318
4,318,100.0,318
5,252,100.0,252
6,39,81.0,-1000
7,219,100.0,219
8,219,100.0,219
9,280,100.0,280
10,252,100.0,252
11,285,100.0,285
12,-62,17.0,-1000
13,243,100.0,243
14,298,100.0,298
15,278,100.0,278
16,219,100.0,219
17,329,100.0,329
18,307,100.0,307
19,223,100.0,223
20,276,100.0,276
21,219,100.0,219
22,59,39.0,-1000
23,-62,17.0,-1000
24,-42,19.0,-1000
25,307,100.0,307
26,-62,17.0,-1000
27,241,100.0,241
28,123,41.0,-1000
29,274,100.0,274
30,307,100.0,307
31,285,100.0,285
32,-62,17.0,-1000
33,329,100.0,329
34,307,100.0,307
35,285,100.0,285
36,219,100.0,219
37,252,100.0,252
38,252,100.0,252
39,285,100.0,285
40,285,100.0,285
41,318,100.0,318
42,241,100.0,241
43,186,100.0,186
44,219,100.0,219
45,263,100.0,263
46,252,100.0,252
47,243,100.0,243
48,285,100.0,285
49,210,100.0,210
50,243,100.0,243
MEAN,222.92,88.96,64.3
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-132,10.0,-1000
2,-132,10.0,-1000
3,-132,10.0,-1000
4,1636,20.0,1000
5,1606,23.0,1000
6,-132,10.0,-1000
7,-132,10.0,-1000
8,-132,10.0,-1000
9,-132,10.0,-1000
10,-132,10.0,-1000
11,-132,10.0,-1000
12,-132,10.0,-1000
13,-132,10.0,-1000
14,-132,10.0,-1000
15,1636,20.0,1000
16,-132,10.0,-1000
17,-132,10.0,-1000
18,-132,10.0,-1000
19,-132,10.0,-1000
20,1586,25.0,1000
21,-132,10.0,-1000
22,-132,10.0,-1000
23,-132,10.0,-1000
24,-132,10.0,-1000
25,-132,10.0,-1000
26,-132,10.0,-1000
27,-132,10.0,-1000
28,1636,20.0,1000
29,-132,10.0,-1000
30,-132,10.0,-1000
31,-132,10.0,-1000
32,-132,10.0,-1000
33,-132,10.0,-1000
34,1636,20.0,1000
35,-132,10.0,-1000
36,-132,10.0,-1000
37,-132,10.0,-1000
38,-132,10.0,-1000
39,-132,10.0,-1000
40,1636,20.0,1000
41,-132,10.0,-1000
42,-132,10.0,-1000
43,1606,23.0,1000
44,-132,10.0,-1000
45,-132,10.0,-1000
46,-132,10.0,-1000
47,-132,10.0,-1000
48,-183,100.0,-183
49,-132,10.0,-1000
50,-132,10.0,-1000
MEAN,147.66,13.62,-663.66
WINS,8.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-141,8.0,-1000
2,474,26.0,-1000
3,-93,15.0,-1000
4,-54,20.0,-1000
5,456,22.0,-1000
6,199,100.0,199
7,524,97.0,-1000
8,588,55.0,-1000
9,168,100.0,168
10,207,100.0,207
11,684,100.0,684
12,-74,18.0,-1000
13,203,100.0,203
14,234,100.0,234
15,-50,38.0,-1000
16,777,100.0,777
17,-54,20.0,-1000
18,225,100.0,225
19,-53,63.0,-1000
20,-39,100.0,-39
21,540,37.0,-1000
22,518,37.0,-1000
23,177,100.0,177
24,63,79.0,-1000
25,-50,38.0,-1000
26,587,100.0,587
27,-141,8.0,-1000
28,768,100.0,768
29,-74,18.0,-1000
30,225,100.0,225
31,196,100.0,196
32,-70,100.0,-70
