TAREA: ZELDA_SIMPLE_2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,1570,30.0,1000
2,-139,17.0,-1000
3,-13,40.0,-1000
4,-53,94.0,-1000
5,-139,17.0,-1000
6,-126,39.0,-1000
7,-130,19.0,-1000
8,-76,40.0,-1000
9,-151,48.0,-1000
10,22,43.0,-1000
11,1484,35.0,1000
12,-139,17.0,-1000
13,1544,29.0,1000
14,-31,42.0,-1000
15,-56,38.0,-1000
16,243,100.0,243
17,374,34.0,-1000
18,-27,59.0,-1000
19,-143,21.0,-1000
20,-144,11.0,-1000
21,-130,19.0,-1000
22,-50,27.0,-1000
23,-144,11.0,-1000
24,-144,11.0,-1000
25,-21,52.0,-1000
26,-50,27.0,-1000
27,-43,47.0,-1000
28,-144,11.0,-1000
29,62,49.0,-1000
30,-12,43.0,-1000
31,390,40.0,-1000
32,41,65.0,-1000
33,1590,28.0,1000
34,-100,22.0,-1000
35,-11,82.0,-1000
36,-139,17.0,-1000
37,-144,11.0,-1000
38,-144,11.0,-1000
39,82,79.0,-1000
40,-143,21.0,-1000
41,1669,54.0,1000
42,-144,11.0,-1000
43,444,37.0,-1000
44,14,31.0,-1000
45,424,29.0,-1000
46,434,38.0,-1000
47,-139,17.0,-1000
48,-144,11.0,-1000
49,-66,32.0,-1000
50,384,43.0,-1000
MEAN,149.84,34.98,-775.14
WINS,5.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,153,100.0,153
2,-85,24.0,-1000
3,245,100.0,245
4,175,100.0,175
5,-56,24.0,-1000
6,51,69.0,-1000
7,33,56.0,-1000
8,95,100.0,95
9,230,100.0,230
10,98,100.0,98
11,164,100.0,164
12,230,100.0,230
13,219,100.0,219
14,164,100.0,164
15,-74,18.0,-1000
16,131,100.0,131
17,704,100.0,704
18,70,100.0,70
19,164,100.0,164
20,142,100.0,142
21,94,100.0,94
22,676,100.0,676
23,87,100.0,87
24,142,100.0,142
25,142,100.0,142
26,142,100.0,142
27,164,100.0,164
28,214,100.0,214
29,15,56.0,-1000
30,219,100.0,219
31,252,100.0,252
32,-74,18.0,-1000
33,-74,18.0,-1000
34,186,100.0,186
35,26,72.0,-1000
36,142,100.0,142
37,287,100.0,287
38,276,100.0,276
39,673,100.0,673
40,24,74.0,-1000
41,753,100.0,753
42,164,100.0,164
43,111,100.0,111
44,207,100.0,207
45,234,100.0,234
46,142,100.0,142
47,230,100.0,230
48,218,100.0,218
49,155,100.0,155
50,208,100.0,208
MEAN,177.76,88.58,-17.96
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-132,10.0,-1000
2,-132,10.0,-1000
3,-132,10.0,-1000
4,-132,10.0,-1000
5,-132,10.0,-1000
6,-132,10.0,-1000
7,-181,4.0,-1000
8,-83,16.0,-1000
9,-132,10.0,-1000
10,-132,10.0,-1000
11,-132,10.0,-1000
12,-132,10.0,-1000
13,-132,10.0,-1000
14,-132,10.0,-1000
15,-132,10.0,-1000
16,-132,10.0,-1000
17,-132,10.0,-1000
18,-132,10.0,-1000
19,-132,10.0,-1000
20,-132,10.0,-1000
21,-132,10.0,-1000
22,-132,10.0,-1000
23,-132,10.0,-1000
24,-132,10.0,-1000
25,-181,4.0,-1000
26,-132,10.0,-1000
27,-132,10.0,-1000
28,-132,10.0,-1000
29,-132,10.0,-1000
30,-132,10.0,-1000
31,-142,11.0,-1000
32,-132,10.0,-1000
33,-132,10.0,-1000
34,-132,10.0,-1000
35,-132,10.0,-1000
36,-132,10.0,-1000
37,-142,11.0,-1000
38,-132,10.0,-1000
39,-132,10.0,-1000
40,-132,10.0,-1000
41,-132,10.0,-1000
42,-132,10.0,-1000
43,-132,10.0,-1000
44,-132,10.0,-1000
45,-132,10.0,-1000
46,-132,10.0,-1000
47,-132,10.0,-1000
48,-132,10.0,-1000
49,-132,10.0,-1000
50,-132,10.0,-1000
MEAN,-133.38,9.92,-1000.0
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-113,35.0,-1000
2,-89,33.0,-1000
3,-107,73.0,-1000
4,112,100.0,112
5,-123,89.0,-1000
6,58,100.0,58
7,-113,35.0,-1000
8,80,100.0,80
9,-109,92.0,-1000
10,-100,43.0,-1000
11,-167,88.0,-1000
12,3,76.0,-1000
13,-125,57.0,-1000
14,-108,41.0,-1000
15,-53,100.0,-53
16,-107,51.0,-1000
17,-147,34.0,-1000
18,-128,28.0,-1000
19,1,100.0,1
20,16,100.0,16
21,-137,59.0,-1000
22,-107,42.0,-1000
