TAREA: ZELDA_R2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-93,30.0,-1000
2,-51,30.0,-1000
3,-78,24.0,-1000
4,-69,26.0,-1000
5,-23,33.0,-1000
6,-60,28.0,-1000
7,52,46.0,-1000
8,-43,35.0,-1000
9,-33,36.0,-1000
10,-102,28.0,-1000
11,-60,28.0,-1000
12,-110,23.0,-1000
13,-73,28.0,-1000
14,-61,31.0,-1000
15,-99,21.0,-1000
16,-82,26.0,-1000
17,-211,36.0,-1000
18,-53,36.0,-1000
19,-120,24.0,-1000
20,-102,28.0,-1000
21,-99,21.0,-1000
22,-61,31.0,-1000
23,-62,34.0,-1000
24,36,79.0,-1000
25,-102,13.0,-1000
26,-141,29.0,-1000
27,-90,23.0,-1000
28,-132,16.0,-1000
29,96,46.0,-1000
30,-109,30.0,-1000
31,7,51.0,-1000
32,-92,27.0,-1000
33,-103,61.0,-1000
34,-32,31.0,-1000
35,-91,24.0,-1000
36,-211,36.0,-1000
37,-116,16.0,-1000
38,110,67.0,-1000
39,-42,34.0,-1000
40,-61,31.0,-1000
41,-132,27.0,-1000
42,-91,24.0,-1000
43,-100,32.0,-1000
44,-53,36.0,-1000
45,-108,19.0,-1000
46,-141,8.0,-1000
47,-108,19.0,-1000
48,-50,27.0,-1000
49,-169,26.0,-1000
50,-79,61.0,-1000
MEAN,-75.94,31.52,-1000.0
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,111,53.0,-1000
2,940,100.0,940
3,-62,17.0,-1000
4,122,75.0,-1000
5,82,93.0,-1000
6,54,33.0,-1000
7,-42,19.0,-1000
8,653,56.0,-1000
9,318,100.0,318
10,-72,18.0,-1000
11,-62,17.0,-1000
12,417,100.0,417
13,351,100.0,351
14,320,100.0,320
15,1793,39.0,1000
16,384,100.0,384
17,1812,53.0,1000
18,329,100.0,329
19,1829,69.0,1000
20,70,39.0,-1000
21,296,100.0,296
22,1821,55.0,1000
23,241,100.0,241
24,590,42.0,-1000
25,-1,33.0,-1000
26,597,59.0,-1000
27,1668,21.0,1000
28,1668,21.0,1000
29,-42,19.0,-1000
30,1773,50.0,1000
31,1881,61.0,1000
32,-71,15.0,-1000
33,1813,85.0,1000
34,296,100.0,296
