TAREA: ZELDA_R_BETA_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-158,60.0,-1000
2,-153,9.0,-1000
3,678,100.0,678
4,727,100.0,727
5,-158,14.0,-1000
6,-158,16.0,-1000
7,-188,63.0,-1000
8,-147,14.0,-1000
9,-127,29.0,-1000
10,-181,19.0,-1000
11,-159,19.0,-1000
12,25,100.0,25
13,178,100.0,178
14,-217,73.0,-1000
15,-110,95.0,-1000
16,24,100.0,24
17,-92,48.0,-1000
18,-123,40.0,-1000
19,643,100.0,643
20,-197,50.0,-1000
21,-174,100.0,-174
22,-102,35.0,-1000
23,600,100.0,600
24,1654,98.0,1000
25,-142,52.0,-1000
26,600,100.0,600
27,-217,34.0,-1000
28,-193,45.0,-1000
29,-176,25.0,-1000
30,591,100.0,591
31,-102,13.0,-1000
32,-138,16.0,-1000
33,-146,13.0,-1000
34,-35,60.0,-1000
35,-74,86.0,-1000
36,-141,51.0,-1000
37,-221,75.0,-1000
38,121,100.0,121
39,-159,19.0,-1000
40,-174,12.0,-1000
41,-7,100.0,-7
42,587,100.0,587
43,-150,34.0,-1000
44,-78,46.0,-1000
45,-147,96.0,-1000
46,-206,39.0,-1000
47,463,87.0,-1000
48,-197,17.0,-1000
49,505,71.0,-1000
50,-189,29.0,-1000
MEAN,41.2,58.04,-608.14
WINS,1.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-202,100.0,-202
2,83,100.0,83
3,47,100.0,47
4,-139,28.0,-1000
5,-122,56.0,-1000
6,-60,61.0,-1000
7,-123,72.0,-1000
8,-107,18.0,-1000
9,-53,100.0,-53
10,-4,100.0,-4
11,112,100.0,112
12,-138,16.0,-1000
13,439,100.0,439
14,1116,100.0,1116
15,-346,42.0,-1000
16,-99,47.0,-1000
17,52,100.0,52
18,183,100.0,183
19,43,100.0,43
20,190,100.0,190
21,644,100.0,644
22,594,100.0,594
23,201,100.0,201
24,206,100.0,206
25,137,100.0,137
26,-68,100.0,-68
27,-130,100.0,-130
28,103,100.0,103
29,276,100.0,276
30,-74,31.0,-1000
31,27,100.0,27
32,-205,93.0,-1000
33,70,100.0,70
34,142,100.0,142
35,-147,48.0,-1000
36,679,100.0,679
37,149,100.0,149
38,548,100.0,548
39,1055,100.0,1055
40,-109,54.0,-1000
41,-35,100.0,-35
42,-118,26.0,-1000
43,536,100.0,536
44,81,100.0,81
45,639,100.0,639
46,-136,33.0,-1000
47,661,100.0,661
48,95,100.0,95
49,-131,20.0,-1000
50,513,100.0,513
MEAN,141.5,82.9,-117.42
WINS,0.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-108,36.0,-1000
2,-196,66.0,-1000
3,473,100.0,473
4,-289,31.0,-1000
5,527,100.0,527
6,-228,43.0,-1000
7,-186,11.0,-1000
8,-201,15.0,-1000
9,340,53.0,-1000
10,-246,33.0,-1000
11,367,100.0,367
12,-307,31.0,-1000
13,383,100.0,383
14,-117,93.0,-1000
15,-114,46.0,-1000
16,74,100.0,74
17,-245,53.0,-1000
18,-217,13.0,-1000
19,-219,15.0,-1000
20,234,86.0,-1000
21,1052,100.0,1052
22,-204,9.0,-1000
23,-147,100.0,-147
24,-144,33.0,-1000
25,-202,16.0,-1000
26,-181,4.0,-1000
27,-197,28.0,-1000
28,-195,18.0,-1000
29,-191,14.0,-1000
30,-158,29.0,-1000
31,-105,86.0,-1000
32,-179,39.0,-1000
33,-328,56.0,-1000
34,-196,10.0,-1000
35,-267,42.0,-1000
36,-204,9.0,-1000
37,-141,73.0,-1000
38,-247,38.0,-1000
39,-191,66.0,-1000
40,-127,58.0,-1000
41,461,100.0,461
42,-229,51.0,-1000
43,524,100.0,524
44,-248,74.0,-1000
45,492,100.0,492
46,-114,100.0,-114
47,375,100.0,375
48,-96,42.0,-1000
49,425,100.0,425
50,-147,14.0,-1000
MEAN,-27.68,54.68,-642.16
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-175,9.0,-1000
2,-141,8.0,-1000
3,-198,91.0,-1000
4,363,98.0,-1000
5,-135,48.0,-1000
6,407,29.0,-1000
7,-149,16.0,-1000
