TAREA: ZELDA_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-37,100.0,-37
2,-152,92.0,-1000
3,-160,18.0,-1000
4,-205,25.0,-1000
5,-340,63.0,-1000
6,-29,100.0,-29
7,-158,31.0,-1000
8,-174,23.0,-1000
9,-255,39.0,-1000
10,65,100.0,65
11,-213,26.0,-1000
12,742,100.0,742
13,-137,15.0,-1000
14,-192,45.0,-1000
15,-166,94.0,-1000
16,-85,42.0,-1000
17,127,100.0,127
18,-131,35.0,-1000
19,-330,76.0,-1000
20,-188,34.0,-1000
21,-137,26.0,-1000
22,-198,68.0,-1000
23,-45,100.0,-45
24,-392,79.0,-1000
25,-132,10.0,-1000
26,-140,18.0,-1000
27,60,100.0,60
28,-211,89.0,-1000
29,-141,19.0,-1000
30,-137,100.0,-137
31,-107,53.0,-1000
32,-170,19.0,-1000
33,370,28.0,-1000
34,-146,13.0,-1000
35,245,100.0,245
36,-43,100.0,-43
37,-239,100.0,-239
38,702,100.0,702
39,-195,100.0,-195
40,-145,12.0,-1000
41,-157,77.0,-1000
42,491,100.0,491
43,-61,100.0,-61
44,-158,25.0,-1000
45,722,100.0,722
46,-152,19.0,-1000
47,-159,15.0,-1000
48,-134,31.0,-1000
49,-172,55.0,-1000
50,-142,9.0,-1000
MEAN,-62.82,58.46,-632.64
WINS,0.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,521,100.0,521
2,-79,49.0,-1000
3,-305,68.0,-1000
4,1085,100.0,1085
5,-166,100.0,-166
6,682,100.0,682
7,1559,86.0,1000
8,-78,100.0,-78
9,124,100.0,124
10,663,100.0,663
11,-35,100.0,-35
12,29,100.0,29
13,441,100.0,441
14,539,100.0,539
15,-59,100.0,-59
16,549,100.0,549
17,571,100.0,571
18,681,100.0,681
19,-121,100.0,-121
20,-264,100.0,-264
21,553,100.0,553
22,65,100.0,65
23,295,100.0,295
24,593,100.0,593
25,654,100.0,654
26,628,100.0,628
27,-374,99.0,-1000
28,148,100.0,148
29,-129,48.0,-1000
30,13,100.0,13
31,-88,100.0,-88
32,650,100.0,650
33,-98,100.0,-98
34,439,88.0,-1000
35,330,100.0,330
36,-94,33.0,-1000
37,-36,81.0,-1000
38,-314,100.0,-314
39,120,100.0,120
40,-280,78.0,-1000
41,600,100.0,600
42,10,100.0,10
43,686,100.0,686
44,1637,34.0,1000
45,170,100.0,170
46,-149,52.0,-1000
47,-127,16.0,-1000
48,-131,54.0,-1000
49,101,100.0,101
50,-155,41.0,-1000
MEAN,241.08,88.54,5.56
WINS,2.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,0,100.0,0
2,533,100.0,533
3,-291,33.0,-1000
4,-172,32.0,-1000
5,-209,14.0,-1000
6,-312,97.0,-1000
7,-186,11.0,-1000
8,-201,15.0,-1000
9,573,100.0,573
10,490,100.0,490
11,-239,17.0,-1000
12,591,100.0,591
13,-192,21.0,-1000
14,-122,48.0,-1000
15,329,49.0,-1000
16,-180,31.0,-1000
17,-284,35.0,-1000
18,-242,20.0,-1000
19,521,100.0,521
20,478,100.0,478
21,586,100.0,586
22,-180,100.0,-180
23,-77,100.0,-77
24,44,100.0,44
25,395,84.0,-1000
26,72,100.0,72
27,-115,60.0,-1000
28,-58,100.0,-58
29,-226,13.0,-1000
30,-169,61.0,-1000
31,24,100.0,24
32,-220,27.0,-1000
33,504,100.0,504
34,-100,33.0,-1000
35,-181,4.0,-1000
36,-171,29.0,-1000
37,29,100.0,29
38,471,59.0,-1000
39,508,100.0,508
40,533,100.0,533
41,-45,100.0,-45
42,618,100.0,618
43,-242,20.0,-1000
44,-195,9.0,-1000
45,-185,8.0,-1000
46,-149,18.0,-1000
47,433,100.0,433
48,-197,50.0,-1000
49,201,100.0,201
50,-252,58.0,-1000
MEAN,50.82,63.12,-432.44
WINS,0.0


Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos,Score
1,-175,9.0,-1000
2,-141,8.0,-1000
3,-203,23.0,-1000
4,-165,38.0,-1000
5,-95,100.0,-95
6,566,100.0,566
7,-95,50.0,-1000
8,379,84.0,-1000
9,-195,100.0,-195
10,-145,12.0,-1000
11,346,75.0,-1000
12,-151,7.0,-1000
13,247,100.0,247
14,526,100.0,526
15,347,27.0,-1000
16,-138,16.0,-1000
17,15,100.0,15
18,337,86.0,-1000
19,-157,13.0,-1000
20,1007,100.0,1007
21,-69,46.0,-1000
22,-166,28.0,-1000
23,-174,8.0,-1000
24,-62,61.0,-1000
25,-179,100.0,-179
26,104,100.0,104
27,-143,68.0,-1000
28,-44,54.0,-1000
29,632,100.0,632
30,-115,84.0,-1000
31,-223,100.0,-223
32,-76,42.0,-1000
33,-87,44.0,-1000
34,-4,100.0,-4
35,-164,22.0,-1000
36,288,100.0,288
37,553,100.0,553
38,-41,51.0,-1000
39,45,100.0,45
40,-126,49.0,-1000
41,-149,16.0,-1000
42,-342,73.0,-1000
43,-146,15.0,-1000
44,-142,9.0,-1000
45,25,100.0,25
46,-70,60.0,-1000
47,-153,9.0,-1000
48,-152,8.0,-1000
49,-148,15.0,-1000
50,-102,97.0,-1000
MEAN,13.6,58.14,-613.76
WINS,0.0


Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos,Score
1,424,100.0,424
2,533,100.0,533
3,107,100.0,107
4,-247,77.0,-1000
5,79,100.0,79
6,-77,32.0,-1000
7,-34,33.0,-1000
8,-196,31.0,-1000
9,-226,47.0,-1000
10,45,100.0,45
11,-116,91.0,-1000
12,-189,35.0,-1000
13,-140,41.0,-1000
14,-86,100.0,-86
15,-217,47.0,-1000
16,643,100.0,643
17,154,100.0,154
18,-159,32.0,-1000
19,-205,23.0,-1000
20,-122,11.0,-1000
21,-141,100.0,-141
22,145,100.0,145
23,-143,71.0,-1000
24,-91,37.0,-1000
25,621,100.0,621
26,-86,73.0,-1000
27,-333,66.0,-1000
28,-122,11.0,-1000
29,-258,52.0,-1000
30,-169,22.0,-1000
31,-193,56.0,-1000
32,141,100.0,141
33,-66,100.0,-66
34,644,100.0,644
35,53,87.0,-1000
36,-145,16.0,-1000
37,608,100.0,608
38,268,56.0,-1000
39,131,100.0,131
40,-118,48.0,-1000
41,633,100.0,633
42,-47,52.0,-1000
43,387,76.0,-1000
44,-46,100.0,-46
45,-67,59.0,-1000
46,214,100.0,214
47,-116,33.0,-1000
48,-122,26.0,-1000
49,-166,11.0,-1000
