TAREA: ZELDA_R_INVERSE_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-15,66.0,-1000
2,-203,92.0,-1000
3,98,100.0,98
4,53,100.0,53
5,-26,38.0,-1000
6,167,100.0,167
7,-273,48.0,-1000
8,-49,28.0,-1000
9,-76,20.0,-1000
10,-61,31.0,-1000
11,-57,40.0,-1000
12,-112,56.0,-1000
13,-118,41.0,-1000
14,-102,13.0,-1000
15,-67,22.0,-1000
16,-80,24.0,-1000
17,-39,100.0,-39
18,-36,58.0,-1000
19,135,100.0,135
20,-153,82.0,-1000
21,15,100.0,15
22,-18,100.0,-18
23,629,100.0,629
24,49,100.0,49
25,-86,32.0,-1000
26,638,100.0,638
27,-104,71.0,-1000
28,175,100.0,175
29,326,87.0,-1000
30,346,100.0,346
31,-79,25.0,-1000
32,-74,68.0,-1000
33,-74,31.0,-1000
34,22,100.0,22
35,-56,48.0,-1000
36,444,60.0,-1000
37,115,100.0,115
38,1653,36.0,1000
39,81,100.0,81
40,1658,46.0,1000
41,-180,30.0,-1000
42,615,100.0,615
43,-54,41.0,-1000
44,475,53.0,-1000
45,-130,36.0,-1000
46,100,100.0,100
47,488,45.0,-1000
48,23,100.0,23
49,-400,53.0,-1000
50,-50,39.0,-1000
MEAN,110.66,65.2,-495.92
WINS,2.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-122,15.0,-1000
2,651,100.0,651
3,-82,15.0,-1000
4,-172,12.0,-1000
5,-126,100.0,-1000
6,-142,9.0,-1000
7,-279,41.0,-1000
8,-50,39.0,-1000
9,-102,17.0,-1000
10,-141,8.0,-1000
11,1671,77.0,1000
12,-222,21.0,-1000
13,-132,16.0,-1000
14,-62,17.0,-1000
15,-6,29.0,-1000
16,-152,26.0,-1000
17,235,100.0,235
18,-141,8.0,-1000
19,-118,41.0,-1000
20,-159,97.0,-1000
21,1670,30.0,1000
22,739,100.0,739
23,-72,22.0,-1000
24,-49,45.0,-1000
25,-4,59.0,-1000
26,-106,25.0,-1000
27,-87,26.0,-1000
28,-74,97.0,-1000
29,-192,30.0,-1000
30,-92,16.0,-1000
31,253,100.0,253
32,-26,25.0,-1000
33,-82,15.0,-1000
34,-99,60.0,-1000
35,-141,8.0,-1000
36,-102,13.0,-1000
37,174,100.0,174
38,185,100.0,185
39,-282,23.0,-1000
40,-98,26.0,-1000
41,276,100.0,276
42,-141,8.0,-1000
43,-92,20.0,-1000
44,554,38.0,-1000
45,-141,8.0,-1000
46,169,100.0,169
47,-141,8.0,-1000
48,-41,41.0,-1000
49,-107,37.0,-1000
50,-154,95.0,-1000
MEAN,40.92,43.26,-706.36
WINS,2.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-13,58.0,-1000
2,-53,89.0,-1000
3,-104,74.0,-1000
4,-148,17.0,-1000
5,739,100.0,739
