TAREA: ZELDA_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-122,15.0,-1000
2,1399,74.0,1000
3,577,100.0,577
4,-101,12.0,-1000
5,-151,7.0,-1000
6,-141,8.0,-1000
7,-223,100.0,-223
8,140,100.0,140
9,-242,100.0,-242
10,-243,100.0,-243
11,-346,98.0,-1000
12,1609,14.0,1000
13,-101,12.0,-1000
14,-482,100.0,-482
15,-96,36.0,-1000
16,-347,100.0,-347
17,-203,61.0,-1000
18,270,100.0,270
19,1597,46.0,1000
20,-190,94.0,-1000
21,-333,71.0,-1000
22,-72,100.0,-72
23,-151,7.0,-1000
24,-268,100.0,-268
25,-167,100.0,-167
26,-665,100.0,-665
27,1566,23.0,1000
28,146,100.0,146
29,-198,82.0,-1000
30,-151,100.0,-151
31,-395,100.0,-395
32,1531,54.0,1000
33,-112,14.0,-1000
34,-56,100.0,-56
35,-151,7.0,-1000
36,431,49.0,-1000
37,1416,56.0,1000
38,-120,100.0,-120
39,-101,12.0,-1000
40,-101,12.0,-1000
41,-141,8.0,-1000
42,-436,100.0,-436
43,-248,87.0,-1000
44,-151,7.0,-1000
45,251,100.0,251
46,-153,100.0,-153
47,-624,67.0,-1000
48,-151,7.0,-1000
49,390,100.0,390
50,-238,79.0,-1000
MEAN,63.04,64.38,-384.92
WINS,6.0


Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,-192,69.0,-1000
2,-92,16.0,-1000
3,-51,34.0,-1000
4,-58,30.0,-1000
5,-34,36.0,-1000
6,218,100.0,218
7,-81,16.0,-1000
8,-64,23.0,-1000
9,-32,22.0,-1000
10,-91,17.0,-1000
11,-62,17.0,-1000
12,-172,12.0,-1000
13,1648,23.0,1000
14,-61,16.0,-1000
15,-83,20.0,-1000
16,-61,16.0,-1000
17,428,17.0,-1000
18,-81,16.0,-1000
19,-62,17.0,-1000
20,-189,42.0,-1000
21,403,28.0,-1000
22,-101,18.0,-1000
23,-72,18.0,-1000
24,418,18.0,-1000
25,-180,36.0,-1000
26,415,45.0,-1000
27,-81,16.0,-1000
28,-87,22.0,-1000
29,142,93.0,-1000
30,432,26.0,-1000
31,-71,15.0,-1000
32,-62,17.0,-1000
33,-72,16.0,-1000
34,-131,21.0,-1000
35,-69,59.0,-1000
36,-71,15.0,-1000
37,-72,18.0,-1000
38,-145,26.0,-1000
39,-71,15.0,-1000
40,-106,29.0,-1000
41,-72,16.0,-1000
42,-112,20.0,-1000
43,20,57.0,-1000
44,-95,21.0,-1000
45,-71,15.0,-1000
46,418,18.0,-1000
47,-36,34.0,-1000
48,36,33.0,-1000
49,385,28.0,-1000
50,-121,20.0,-1000
MEAN,31.98,27.44,-935.64
WINS,1.0


Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos,Score
1,-211,7.0,-1000
