"TAREA:","ZELDA_REPTILE",,,,,
,,,,,,
,,,,,,
"Mapa",00:00:00,"zelda_0.txt",,,,
"Episodio","TotalReward","Pasos","Score",,,
1,-75,"53.0",-1000,,,
2,704,"100.0",704,,,
3,174,"100.0",174,,,
4,-12,"46.0",-1000,,,
5,263,"100.0",263,,,
6,-95,"38.0",-1000,,,
7,1746,"95.0",1000,,,
8,716,"100.0",716,,,
9,-113,"38.0",-1000,,,
10,-89,"22.0",-1000,,,
11,117,"100.0",117,,,
12,-107,"18.0",-1000,,,
13,-149,"30.0",-1000,,,
14,-64,"34.0",-1000,,,
15,-21,"41.0",-1000,,,
16,-180,"100.0",-180,,,
17,-94,"33.0",-1000,,,
18,-137,"44.0",-1000,,,
19,-108,"61.0",-1000,,,
20,53,"62.0",-1000,,,
21,-110,"25.0",-1000,,,
22,-184,"70.0",-1000,,,
23,19,"97.0",-1000,,,
24,1,"53.0",-1000,,,
25,1667,"33.0",1000,,,
26,-113,"30.0",-1000,,,
27,-63,"29.0",-1000,,,
28,-151,"7.0",-1000,,,
29,12,"100.0",12,,,
30,-144,"38.0",-1000,,,
31,-225,"68.0",-1000,,,
32,-134,"12.0",-1000,,,
33,-150,"40.0",-1000,,,
34,-173,"69.0",-1000,,,
35,1767,"60.0",1000,,,
36,-114,"71.0",-1000,,,
37,-35,"42.0",-1000,,,
38,1621,"69.0",1000,,,
39,114,"100.0",114,,,
40,65,"81.0",-1000,,,
41,-294,"72.0",-1000,,,
42,-107,"18.0",-1000,,,
43,553,"65.0",-1000,,,
44,-132,"41.0",-1000,,,
45,-162,"36.0",-1000,,,
46,-141,"8.0",-1000,,,
47,-85,"31.0",-1000,,,
48,-68,"81.0",-1000,,,
49,-142,"32.0",-1000,,,
50,-23,"35.0",-1000,,,
"MEAN","111.96","54.56","-641.6",,,
"WINS","4.0",,,,,
,,,,,,
,,,,,,
"Mapa",01:00:00,"zelda_1.txt",,,,
"Episodio","TotalReward","Pasos","Score",,,
1,-82,"19.0",-1000,,,
2,-54,"31.0",-1000,,,
3,559,"75.0",-1000,,,
4,282,"100.0",282,,,
5,-141,"8.0",-1000,,,
6,-112,"22.0",-1000,,,
7,-142,"9.0",-1000,,,
8,153,"100.0",153,,,
9,-141,"8.0",-1000,,,
10,-234,"20.0",-1000,,,
11,-3,"52.0",-1000,,,
12,413,"25.0",-1000,,,
13,-62,"17.0",-1000,,,
14,-9,"36.0",-1000,,,
15,-112,"22.0",-1000,,,
16,-16,"26.0",-1000,,,
17,-183,"22.0",-1000,,,
18,-141,"8.0",-1000,,,
19,1694,"69.0",1000,,,
20,-145,"12.0",-1000,,,
21,-141,"8.0",-1000,,,
22,442,"42.0",-1000,,,
23,-77,"29.0",-1000,,,
24,-142,"9.0",-1000,,,
25,-292,"24.0",-1000,,,
26,-132,"16.0",-1000,,,
27,-33,"32.0",-1000,,,
28,-62,"17.0",-1000,,,
29,-313,"53.0",-1000,,,
30,-72,"18.0",-1000,,,
31,-40,"30.0",-1000,,,
32,-141,"8.0",-1000,,,
33,-42,"19.0",-1000,,,
34,1685,"37.0",1000,,,
35,387,"37.0",-1000,,,
36,-71,"15.0",-1000,,,
