TAREA: ZELDA_Z_SIMPLE


Mapa 0: s_zelda_0.txt
Episodio,TotalReward,Pasos,Score
1,-170,4.0,-1000
2,-170,4.0,-1000
3,-170,4.0,-1000
4,-170,4.0,-1000
5,-170,4.0,-1000
6,-170,4.0,-1000
7,-170,4.0,-1000
8,-170,4.0,-1000
9,-170,4.0,-1000
10,-170,4.0,-1000
11,-170,4.0,-1000
12,-170,4.0,-1000
13,-170,4.0,-1000
14,-170,4.0,-1000
15,-170,4.0,-1000
16,-170,4.0,-1000
17,-170,4.0,-1000
18,-170,4.0,-1000
19,-170,4.0,-1000
20,-170,4.0,-1000
MEAN,-170.0,4.0,-1000.0
WINS,0.0


Mapa 1: s_zelda_1.txt
Episodio,TotalReward,Pasos,Score
1,707,100.0,707
2,-586,100.0,-586
3,456,100.0,456
4,456,100.0,456
5,456,100.0,456
6,-622,100.0,-622
7,-613,100.0,-613
8,456,100.0,456
9,-604,100.0,-604
10,-604,100.0,-604
11,772,100.0,772
12,-622,100.0,-622
13,-640,100.0,-640
14,456,100.0,456
15,-613,100.0,-613
16,-613,100.0,-613
17,456,100.0,456
18,-604,100.0,-604
19,-604,100.0,-604
20,456,100.0,456
MEAN,-102.7,100.0,-102.7
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,-54.54,20.8,-220.54000000000002
TOTAL_WINS,0.0
Win_MEAN,0.0
