TAREA: ZELDA_CL_2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-9900,101
2,-9690,101
3,-9900,101
4,-9900,101
5,-9900,101
6,-9900,101
7,-9900,101
8,-9900,101
9,-9900,101
10,-9900,101

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,930,101
2,880,101
3,1860,45
4,920,101
5,1840,43
6,890,101
7,960,101
8,490,101
9,1840,43
10,890,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1280,7
2,-1480,9
3,-1080,5
4,-1130,12
5,-1080,5
6,-1380,8
7,-1130,12
8,-1180,6
9,-1230,13
10,-1080,5

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-950,7
2,1900,70
3,-950,7
4,-60,55
5,-810,23
6,-190,59
7,-790,25
8,-110,57
9,-230,39
10,-60,85

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-350,20
2,-350,20
3,-350,20
4,-350,20
5,-350,20
6,-350,20
7,-350,20
8,-350,20
9,-350,20
10,-350,20

