TAREA: FIND_KEY_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-6800,101
2,-7370,101
3,-7200,101
4,-7200,101
5,-7300,101
6,-2100,61
7,-7400,101
8,-6980,101
9,-7600,101
10,-7300,101

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,-4840,101
2,-5240,101
3,-5640,101
4,-5440,101
5,-5040,101
6,-4900,101
7,-5340,101
8,-5340,101
9,-5040,101
10,-5340,101

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-5850,101
2,-5900,101
3,-5800,101
4,-6000,101
5,-5300,101
6,-5400,101
7,-5800,101
8,-5400,101
9,-5600,101
10,-5600,101

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,-6070,101
2,-5870,101
3,-5970,101
4,-6170,101
5,-5970,101
6,-5020,101
7,-5670,101
8,-6570,101
9,-5670,101
10,-5970,101

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,1150,17
2,1050,18
3,1150,18
4,1150,17
5,1150,17
6,1150,17
7,1150,17
8,1150,18
9,1150,17
10,1150,17

