TAREA: FIND_KEY_R_BETA_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-90,101
2,-100,101
3,-500,101
4,-100,101
5,-400,101
6,-6440,101
7,-200,101
8,-300,101
9,-1000,101
10,-600,101

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,-7710,101
2,-8410,101
3,-7340,101
4,-6820,101
5,10,101
6,-5970,101
7,-7920,101
8,-8540,101
9,-9340,101
10,-8540,101

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,0,101
2,0,101
3,0,101
4,0,101
5,0,101
6,0,101
7,0,101
8,-100,101
9,0,101
10,10,101

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,-280,101
2,-480,101
3,-5490,101
4,-1370,50
5,-500,101
6,-600,101
7,-610,101
8,-800,101
9,-2350,101
10,340,33

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,-6620,101
2,-8530,101
3,-6300,101
4,-5820,101
5,-6710,101
6,-6010,101
7,-6520,101
8,-9140,101
9,-5310,101
10,-7520,101

