TAREA: ZELDA_CL


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1870,31
2,-2970,42
3,-3300,39
4,-4180,52
5,-3880,49
6,-3990,48
7,-4090,49
8,-3190,40
9,-3000,36
10,-3590,44

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-3240,101
2,-1170,18
3,-3340,101
4,-3050,101
5,-2410,101
6,-4450,101
7,-4500,101
8,-3850,101
9,-970,16
10,-3030,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-930,10
2,-930,12
3,-930,10
4,-930,10
5,-930,10
6,-930,10
7,-930,10
8,-930,10
9,-930,10
10,-930,10

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-860,17
2,-860,17
3,-860,17
4,-860,17
5,-860,17
6,-960,18
7,-860,17
8,-860,17
9,-860,17
10,-860,17

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-430,9
2,-430,10
3,-430,9
4,-430,9
5,-430,10
6,-430,9
7,-430,10
8,-330,22
9,-430,10
10,-430,10

