TAREA: ZELDA_CL_R2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-2700,31
2,-950,7
3,-950,7
4,-3000,34
5,-4900,53
6,-8800,92
7,-950,7
8,-7900,83
9,-6800,72
10,-8300,87

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-860,16
2,-520,101
3,-4870,101
4,-370,17
5,920,101
6,900,101
7,-3610,101
8,830,101
9,-1140,28
10,580,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-900,97
2,-630,26
3,-930,10
4,-370,66
5,-580,50
6,-590,96
7,-6710,101
8,-130,72
9,-980,4
10,-1320,101

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-940,8
2,-950,7
3,-950,7
4,-940,8
5,-950,7
6,-950,7
7,-940,8
8,-950,7
9,-950,7
10,-940,8

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,900,101
2,1630,17
3,-90,72
4,1630,17
5,-230,52
6,-150,57
7,1630,17
8,-110,53
9,1630,17
10,-80,71

