TAREA: ZELDA_CL_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-380,101
2,1610,14
3,1370,81
4,960,77
5,-490,101
6,-240,101
7,-2340,47
8,-2090,45
9,0,67
10,1610,14

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,250,101
2,190,101
3,190,101
4,190,101
5,210,101
6,190,101
7,200,101
8,170,101
9,270,101
10,210,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1980,28
2,-1280,101
3,-1280,101
4,-990,101
5,-1200,101
6,-1700,101
7,-1950,101
8,-1800,101
9,-720,101
10,-1930,101

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-950,7
2,70,101
3,-950,7
4,-950,7
5,-950,7
6,-940,8
7,-750,52
8,-770,42
9,-710,48
10,-950,7

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,1630,17
2,1630,17
3,1630,17
4,1630,17
5,1530,18
6,1630,17
7,1630,17
8,1630,17
9,1630,17
10,1630,17

