TAREA: ZELDA_SIMPLE_2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-8640,101
2,-8650,101
3,-8050,101
4,-8650,101
5,-8450,101
6,-900,20
7,-8030,101
8,-7040,101
9,-8230,101
10,-8640,101

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-870,15
2,-870,15
3,-970,16
4,-870,15
5,-870,15
6,-870,15
7,-970,16
8,-870,15
9,-870,15
10,-870,15

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-3430,35
2,-4130,42
3,-3830,39
4,-4480,39
5,-4130,42
6,-4780,42
7,-4080,35
8,-4330,44
9,-4880,43
10,-4380,38

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-790,25
2,-860,47
3,-790,25
4,-760,29
5,-790,25
6,-770,27
7,-660,45
8,-1160,48
9,-230,50
10,-760,29

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-430,9
2,-430,9
3,-220,35
4,-430,9
5,-430,9
6,-430,9
7,-430,9
8,-430,10
9,-430,9
10,-430,9

