TAREA: ZELDA_R2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-730,41
2,-780,37
3,-1060,35
4,-690,53
5,-1020,41
6,-680,81
7,-330,39
8,-1060,37
9,-900,13
10,-610,69

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,890,101
2,360,101
3,-160,45
4,-960,18
5,-960,18
6,-860,17
7,-460,20
8,-940,9
9,1850,100
10,840,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-980,4
2,-980,4
3,-980,4
4,-980,4
5,-980,4
6,-980,4
7,-980,4
8,-980,4
9,-980,4
10,-980,4

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-940,8
2,-950,7
3,-950,7
4,-940,8
5,-950,7
6,-950,7
7,-940,8
8,-950,7
9,-950,7
10,-980,4

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-310,27
2,1630,17
3,-330,22
4,-170,48
5,-100,80
6,-330,22
7,-330,22
8,-50,79
9,1630,17
10,-330,22

