TAREA: ZELDA_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,100,101
2,100,101
3,100,101
4,100,101
5,100,101
6,100,101
7,100,101
8,100,101
9,100,101
10,100,101

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,0,101
2,0,101
3,0,101
4,0,101
5,0,101
6,0,101
7,0,101
8,0,101
9,0,101
10,0,101

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,0,101
2,0,101
3,0,101
4,0,101
5,0,101
6,0,101
7,0,101
8,0,101
9,0,101
10,0,101

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-8530,101
2,-8530,101
3,-8530,101
4,-8530,101
5,-8530,101
6,-8530,101
7,-8530,101
8,-8530,101
9,-8530,101
10,-8530,101

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,101
2,-1000,101
3,-1000,101
4,-1000,101
5,-1000,101
6,-1000,101
7,-1000,101
8,-1000,101
9,-1000,101
10,-1000,101

