TAREA: ZELDA_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-160,51
2,-340,24
3,-1160,37
4,-850,34
5,180,101
6,-1440,43
7,-1220,73
8,-330,63
9,-970,46
10,-1800,91

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1060,19
2,-860,17
3,-1360,22
4,-1070,56
5,-780,41
6,-860,17
7,-1020,40
8,-1160,20
9,-860,17
10,-860,17

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1080,5
2,-780,49
3,-980,4
4,-980,4
5,-1280,11
6,380,101
7,-1180,6
8,-1080,5
9,-1080,5
10,-1080,9

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-940,8
2,-950,7
3,-810,30
4,-800,28
5,-990,16
6,-1080,41
7,-710,39
8,-940,8
9,-950,7
10,-940,8

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1190,39
2,-1140,77
3,1500,31
4,1530,18
5,1800,43
6,1530,18
7,-1520,29
8,-380,23
9,-1000,35
10,780,50

