TAREA: ZELDA_CL_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,34.0
2,-1000,18.0
3,-1000,20.0
4,180,100.0
5,-1000,34.0
6,-1000,69.0
7,-1000,14.0
8,-1000,18.0
9,-1000,44.0
10,-1000,18.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,23,100.0
2,-1000,16.0
3,-1000,30.0
4,-1000,62.0
5,-7,100.0
6,3,100.0
7,179,100.0
8,23,100.0
9,-82,100.0
10,-8,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,14.0
2,-1000,10.0
3,-1000,10.0
4,-1000,10.0
5,-1000,10.0
6,-1000,10.0
7,-1000,26.0
8,-1000,10.0
9,-1000,10.0
10,-1000,12.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,26.0
2,-1000,46.0
3,-1000,8.0
4,-1000,7.0
5,-1000,8.0
6,-1000,27.0
7,-1000,8.0
8,-1000,8.0
9,-1000,8.0
10,-1000,8.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,63.0
2,-1000,36.0
3,-1000,54.0
4,-1000,44.0
5,-1000,100.0
6,-1000,16.0
7,26,100.0
8,-1000,48.0
9,17,100.0
10,-1000,83.0

