TAREA: FIND_KEY_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,1000,28.0
2,1000,19.0
3,1000,23.0
4,1000,12.0
5,1000,34.0
6,1000,44.0
7,1000,35.0
8,1000,15.0
9,1000,51.0
10,1000,25.0

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,-68,100.0
2,-58,100.0
3,1000,66.0
4,-5,100.0
5,-22,100.0
6,1000,55.0
7,-38,100.0
8,-18,100.0
9,1000,30.0
10,4,100.0

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-7,100.0
2,-55,100.0
3,18,100.0
4,27,100.0
5,-10,100.0
6,10,100.0
7,-51,100.0
8,-27,100.0
9,19,100.0
10,-23,100.0

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,16,100.0
2,18,100.0
3,20,100.0
4,22,100.0
5,-3,100.0
6,-32,100.0
7,-11,100.0
8,21,100.0
9,1,100.0
10,-1,100.0

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,1000,84.0
2,1000,93.0
3,1000,37.0
4,1000,19.0
5,1000,35.0
6,-635,100.0
7,1000,19.0
8,1000,76.0
9,1000,42.0
10,1000,30.0

