TAREA: FIND_KEY_R_BETA_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-890,100.0
2,-880,100.0
3,-890,100.0
4,-890,100.0
5,-890,100.0
6,-890,100.0
7,-890,100.0
8,-870,100.0
9,-890,100.0
10,-870,100.0

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,-890,100.0
2,-890,100.0
3,-890,100.0
4,-890,100.0
5,-890,100.0
6,-890,100.0
7,-890,100.0
8,-890,100.0
9,-890,100.0
10,-890,100.0

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-1000,100.0
2,-870,100.0
3,-1000,100.0
4,-1000,100.0
5,-1000,100.0
6,-1000,100.0
7,-1000,100.0
8,-990,100.0
9,-1000,100.0
10,1000,31.0

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,-923,100.0
2,-923,100.0
3,-923,100.0
4,-923,100.0
5,-923,100.0
6,-923,100.0
7,-923,100.0
8,-923,100.0
9,-923,100.0
10,-923,100.0

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,-890,100.0
2,-890,100.0
3,-890,100.0
4,-890,100.0
5,-890,100.0
6,-890,100.0
7,-890,100.0
8,-890,100.0
9,-890,100.0
10,-890,100.0

