TAREA: FIND_KEY_REPTILE_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-221,100.0
2,-177,100.0
3,1000,59.0
4,-223,100.0
5,1000,15.0
6,1000,27.0
7,1000,62.0
8,1000,57.0
9,-176,100.0
10,1000,41.0

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,1000,96.0
2,-108,100.0
3,-242,100.0
4,1000,39.0
5,1000,78.0
6,-65,100.0
7,-25,100.0
8,-122,100.0
9,-59,100.0
10,-58,100.0

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-103,100.0
2,1000,92.0
3,-160,100.0
4,1000,37.0
5,-55,100.0
6,-194,100.0
7,-184,100.0
8,-205,100.0
9,-61,100.0
10,-144,100.0

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,1000,56.0
2,-122,100.0
3,-106,100.0
4,-27,100.0
5,34,100.0
6,-17,100.0
7,-145,100.0
8,-115,100.0
9,-121,100.0
10,-33,100.0

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,1000,84.0
2,1000,69.0
3,1000,81.0
4,1000,33.0
5,-99,100.0
6,-36,100.0
7,1000,28.0
8,-168,100.0
9,-190,100.0
10,1000,66.0

