TAREA: ZELDA_CL


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,10.0
2,-1000,12.0
3,-1000,12.0
4,-1000,12.0
5,-1000,29.0
6,-1000,12.0
7,-1000,12.0
8,-1000,10.0
9,-1000,28.0
10,-1000,28.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1,100.0
2,225,100.0
3,225,100.0
4,225,100.0
5,238,100.0
6,230,100.0
7,237,100.0
8,226,100.0
9,225,100.0
10,243,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,5.0
2,6,100.0
3,6,100.0
4,-1000,4.0
5,6,100.0
6,6,100.0
7,6,100.0
8,-1000,4.0
9,428,100.0
10,6,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,14.0
2,-1000,16.0
3,-1000,14.0
4,-1000,14.0
5,-1000,14.0
6,-1000,14.0
7,-1000,16.0
8,-1000,16.0
9,-1000,14.0
10,-1000,14.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,30.0
2,-1000,32.0
3,-1000,32.0
4,-1000,32.0
5,-1000,32.0
6,-1000,32.0
7,-1000,32.0
8,-1000,32.0
9,-1000,30.0
10,-1000,30.0

