TAREA: ZELDA_CL_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,0,100.0
7,0,100.0
8,0,100.0
9,0,100.0
10,0,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,0,100.0
7,0,100.0
8,0,100.0
9,0,100.0
10,0,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,1,100.0
2,2,100.0
3,2,100.0
4,2,100.0
5,1,100.0
6,2,100.0
7,0,100.0
8,2,100.0
9,2,100.0
10,2,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,0,100.0
7,0,100.0
8,0,100.0
9,0,100.0
10,0,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,0,100.0
7,0,100.0
8,0,100.0
9,0,100.0
10,0,100.0

