TAREA: ZELDA_UPPERBOUND


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,0,100.0
7,0,100.0
8,0,100.0
9,0,100.0
10,0,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,6,100.0
2,-152,100.0
3,227,100.0
4,104,100.0
5,-18,100.0
6,-86,100.0
7,-58,100.0
8,-120,100.0
9,240,100.0
10,-114,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,50.0
2,-1000,56.0
3,-1000,20.0
4,219,100.0
5,-1000,81.0
6,233,100.0
7,-1000,48.0
8,-1000,20.0
9,-1000,77.0
10,-1000,20.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,7.0
2,-1000,7.0
3,-1000,7.0
4,-1000,8.0
5,-1000,7.0
6,-1000,7.0
7,-1000,7.0
8,-1000,8.0
9,-1000,7.0
10,-1000,8.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,1000,31.0
2,1000,31.0
3,1000,54.0
4,1000,31.0
5,1000,31.0
6,1000,31.0
7,1000,31.0
8,1000,32.0
9,1000,32.0
10,1000,31.0

