TAREA: ZELDA_SIMPLE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,57.0
2,-1000,51.0
3,-1000,52.0
4,-1000,52.0
5,-1000,51.0
6,-1000,53.0
7,-1000,55.0
8,-1000,86.0
9,-1000,51.0
10,-1000,53.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,21.0
2,-1000,14.0
3,-1000,9.0
4,-1000,23.0
5,-1000,22.0
6,-1000,21.0
7,-1000,15.0
8,-1000,9.0
9,-1000,23.0
10,-1000,14.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,4.0
2,-1000,4.0
3,-1000,4.0
4,-1000,10.0
5,-1000,34.0
6,-1000,4.0
7,-1000,4.0
8,-1000,10.0
9,-1000,4.0
10,-1000,10.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,84.0
2,-1000,46.0
3,-774,100.0
4,-1000,50.0
5,-816,100.0
6,-1000,53.0
7,-443,100.0
8,-752,100.0
9,-837,100.0
10,-1000,49.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,241,100.0
2,243,100.0
3,236,100.0
4,241,100.0
5,241,100.0
6,241,100.0
7,246,100.0
8,241,100.0
9,247,100.0
10,243,100.0

