TAREA: ZELDA_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-128,100.0
2,52,100.0
3,-77,100.0
4,-1000,82.0
5,-52,100.0
6,-88,100.0
7,-84,100.0
8,112,100.0
9,-1000,20.0
10,-111,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,97,100.0
2,-30,100.0
3,-129,100.0
4,-24,100.0
5,189,100.0
6,142,100.0
7,116,100.0
8,-147,100.0
9,-1000,99.0
10,-59,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,83,100.0
2,196,100.0
3,-1000,68.0
4,-1000,16.0
5,210,100.0
6,-83,100.0
7,-77,100.0
8,131,100.0
9,87,100.0
10,-57,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-104,100.0
2,-1000,23.0
3,-1000,63.0
4,-1000,24.0
5,103,100.0
6,-1000,46.0
7,-1000,49.0
8,-1000,23.0
9,-1000,20.0
10,-148,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,320,100.0
2,-1000,30.0
3,-62,100.0
4,-1000,32.0
5,-1000,8.0
6,121,100.0
7,-1000,61.0
8,157,100.0
9,209,100.0
10,-7,100.0

