TAREA: ZELDA_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,1000,95.0
2,-1000,31.0
3,-1000,74.0
4,1000,29.0
5,-1000,36.0
6,1000,73.0
7,1000,31.0
8,-1000,37.0
9,-1000,49.0
10,-1000,12.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,37.0
2,-1000,19.0
3,-1000,30.0
4,-1000,27.0
5,35,100.0
6,-1000,46.0
7,-1000,11.0
8,-1000,20.0
9,-1000,12.0
10,-1000,62.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,4.0
2,-1000,4.0
3,-1000,4.0
4,-1000,5.0
5,-1000,4.0
6,-1000,9.0
7,-1000,7.0
8,-1000,4.0
9,-1000,5.0
10,-1000,5.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,32,100.0
2,-1000,27.0
3,-1000,57.0
4,-1000,79.0
5,-1000,12.0
6,-1000,57.0
7,-1000,32.0
8,-1000,29.0
9,-1000,67.0
10,-1000,65.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,9.0
2,-1000,9.0
3,-1000,20.0
4,-1000,9.0
5,-1000,9.0
6,-1000,9.0
7,-1000,80.0
8,-1000,9.0
9,-1000,33.0
10,-1000,9.0

