TAREA: ZELDA_CL


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,20.0
2,-1000,25.0
3,-1000,19.0
4,-1000,15.0
5,-1000,36.0
6,-60,100.0
7,-1000,17.0
8,-1000,31.0
9,-1000,29.0
10,-1000,25.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-72,100.0
2,-66,100.0
3,-101,100.0
4,-109,100.0
5,-76,100.0
6,-74,100.0
7,-109,100.0
8,-86,100.0
9,-112,100.0
10,-89,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,10.0
2,-1000,10.0
3,-1000,10.0
4,-1000,10.0
5,-1000,10.0
6,-1000,10.0
7,-1000,10.0
8,-1000,10.0
9,-1000,10.0
10,-1000,10.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,7.0
2,-1000,12.0
3,-1000,28.0
4,-1000,47.0
5,-1000,31.0
6,-1000,29.0
7,-1000,23.0
8,-1000,47.0
9,-1000,15.0
10,-1000,7.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-76,100.0
2,-72,100.0
3,-64,100.0
4,-72,100.0
5,-76,100.0
6,-76,100.0
7,-62,100.0
8,-68,100.0
9,-64,100.0
10,-68,100.0

