TAREA: ZELDA_CL_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-100,100.0
2,-100,100.0
3,-100,100.0
4,-100,100.0
5,-100,100.0
6,-100,100.0
7,-100,100.0
8,-100,100.0
9,-100,100.0
10,-100,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-100,100.0
2,-100,100.0
3,-100,100.0
4,-100,100.0
5,-100,100.0
6,-100,100.0
7,-100,100.0
8,-100,100.0
9,-100,100.0
10,-100,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-100,100.0
2,-100,100.0
3,-100,100.0
4,-100,100.0
5,-100,100.0
6,-100,100.0
7,-100,100.0
8,-100,100.0
9,-100,100.0
10,-100,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-100,100.0
2,-100,100.0
3,-100,100.0
4,-100,100.0
5,-100,100.0
6,-100,100.0
7,-100,100.0
8,-100,100.0
9,-100,100.0
10,-100,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-100,100.0
2,-100,100.0
3,-100,100.0
4,-100,100.0
5,-100,100.0
6,-100,100.0
7,-100,100.0
8,-100,100.0
9,-100,100.0
10,-100,100.0

