TAREA: ZELDA_CL_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-774,100.0
2,-890,100.0
3,-1000,55.0
4,-890,100.0
5,-890,100.0
6,-890,100.0
7,-890,100.0
8,-890,100.0
9,-754,100.0
10,-890,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,473,100.0
2,-1000,25.0
3,-1000,33.0
4,-1000,68.0
5,-1000,17.0
6,-1000,29.0
7,-817,100.0
8,-1000,17.0
9,-1000,69.0
10,-1000,70.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,69.0
2,-1000,100.0
3,-1000,59.0
4,-1000,100.0
5,-1000,100.0
6,-1000,100.0
7,-1000,100.0
8,-1000,100.0
9,-1000,100.0
10,-1000,9.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-839,100.0
2,-839,100.0
3,-839,100.0
4,-1000,8.0
5,-1000,7.0
6,-1000,7.0
7,-839,100.0
8,-839,100.0
9,-839,100.0
10,-1000,8.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,426,100.0
2,478,100.0
3,-1000,87.0
4,-1000,75.0
5,469,100.0
6,418,100.0
7,-1000,80.0
8,430,100.0
9,1000,46.0
10,484,100.0

