TAREA: ZELDA_CL_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,30.0
2,-1000,29.0
3,-1000,19.0
4,-1000,57.0
5,-1000,38.0
6,-1000,37.0
7,-1000,61.0
8,-1000,58.0
9,-1000,41.0
10,-1000,23.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-66,100.0
2,-1000,53.0
3,-28,100.0
4,-19,100.0
5,-1000,56.0
6,-1000,54.0
7,-1000,41.0
8,-1000,43.0
9,-29,100.0
10,-18,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,1000,49.0
2,1000,66.0
3,1000,55.0
4,-1000,21.0
5,1000,20.0
6,-1000,10.0
7,1000,21.0
8,1000,22.0
9,1000,52.0
10,-1000,21.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,44.0
2,-1000,8.0
3,-1000,8.0
4,-1000,57.0
5,-1000,8.0
6,-1000,8.0
7,-1000,39.0
8,-1000,8.0
9,-1000,8.0
10,-1000,25.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,64.0
2,-1000,63.0
3,1000,30.0
4,1000,31.0
5,1000,30.0
6,1000,33.0
7,-1000,10.0
8,-1000,59.0
9,1000,30.0
10,488,100.0

