TAREA: ZELDA_UPPERBOUND


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-881,100.0
2,-881,100.0
3,-881,100.0
4,-881,100.0
5,-881,100.0
6,-881,100.0
7,-881,100.0
8,-881,100.0
9,-881,100.0
10,-881,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,25.0
2,-1000,25.0
3,-1000,23.0
4,-1000,25.0
5,-1000,17.0
6,-1000,17.0
7,-1000,19.0
8,-1000,17.0
9,-1000,25.0
10,-1000,21.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,13.0
2,-1000,15.0
3,-1000,34.0
4,-1000,16.0
5,-1000,21.0
6,-1000,15.0
7,-1000,20.0
8,-1000,34.0
9,-1000,67.0
10,-1000,24.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-841,100.0
2,-697,100.0
3,-841,100.0
4,-830,100.0
5,-841,100.0
6,-1000,7.0
7,-1000,8.0
8,-1000,8.0
9,-1000,11.0
10,-841,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,467,100.0
2,451,100.0
3,469,100.0
4,457,100.0
5,1000,50.0
6,1000,68.0
7,1000,36.0
8,457,100.0
9,-1000,6.0
10,1000,88.0

