TAREA: FIND_KEY_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-872,100.0
2,-881,100.0
3,-881,100.0
4,-863,100.0
5,-890,100.0
6,-890,100.0
7,-881,100.0
8,-872,100.0
9,-863,100.0
10,-872,100.0

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,-779,100.0
2,-797,100.0
3,-797,100.0
4,-797,100.0
5,-797,100.0
6,-797,100.0
7,-797,100.0
8,-797,100.0
9,-770,100.0
10,-788,100.0

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-982,100.0
2,-991,100.0
3,-991,100.0
4,-973,100.0
5,-1000,100.0
6,-1000,100.0
7,-991,100.0
8,-982,100.0
9,1000,68.0
10,-991,100.0

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,-830,100.0
2,-830,100.0
3,-830,100.0
4,-830,100.0
5,-830,100.0
6,-830,100.0
7,-830,100.0
8,-830,100.0
9,-830,100.0
10,-832,100.0

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,1000,18.0
2,1000,18.0
3,1000,18.0
4,1000,18.0
5,1000,18.0
6,1000,18.0
7,1000,18.0
8,1000,18.0
9,1000,18.0
10,1000,18.0

