TAREA: FIND_KEY_R_BETA_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-192,100.0
2,-180,100.0
3,-215,100.0
4,-277,100.0
5,-207,100.0
6,-89,100.0
7,-151,100.0
8,-151,100.0
9,1000,61.0
10,-153,100.0

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,-136,100.0
2,-176,100.0
3,-178,100.0
4,-282,100.0
5,-153,100.0
6,-159,100.0
7,-114,100.0
8,-284,100.0
9,1000,25.0
10,1000,50.0

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-274,100.0
2,-234,100.0
3,-142,100.0
4,-216,100.0
5,-129,100.0
6,-192,100.0
7,-105,100.0
8,-288,100.0
9,-179,100.0
10,-162,100.0

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,-182,100.0
2,1000,38.0
3,-214,100.0
4,1000,50.0
5,-47,100.0
6,-91,100.0
7,-136,100.0
8,1000,73.0
9,-174,100.0
10,-171,100.0

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,-145,100.0
2,-176,100.0
3,-178,100.0
4,-282,100.0
5,-153,100.0
6,-159,100.0
7,-114,100.0
8,-293,100.0
9,-85,100.0
10,-99,100.0

