TAREA: FIND_KEY_REPTILE_KEY


Mapa 0: key_0.txt
Episodio,TotalReward,Pasos
1,-306,100.0
2,1000,23.0
3,-215,100.0
4,-302,100.0
5,-224,100.0
6,-188,100.0
7,-108,100.0
8,-164,100.0
9,1000,43.0
10,1000,55.0

Mapa 1: key_1.txt
Episodio,TotalReward,Pasos
1,1000,62.0
2,-325,100.0
3,1000,97.0
4,-80,100.0
5,-247,100.0
6,-74,100.0
7,1000,61.0
8,-296,100.0
9,-168,100.0
10,-140,100.0

Mapa 2: key_2.txt
Episodio,TotalReward,Pasos
1,-142,100.0
2,-385,100.0
3,-214,100.0
4,-52,100.0
5,-247,100.0
6,-233,100.0
7,1000,52.0
8,-338,100.0
9,1000,54.0
10,-241,100.0

Mapa 3: key_3.txt
Episodio,TotalReward,Pasos
1,1000,48.0
2,-207,100.0
3,-159,100.0
4,1000,22.0
5,-177,100.0
6,-73,100.0
7,1000,34.0
8,1000,31.0
9,-69,100.0
10,1000,23.0

Mapa 4: key_4.txt
Episodio,TotalReward,Pasos
1,1000,85.0
2,1000,40.0
3,1000,50.0
4,-178,100.0
5,-321,100.0
6,-322,100.0
7,1000,45.0
8,-440,100.0
9,-219,100.0
10,-121,100.0

