TAREA: ZELDA_SIMPLE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,30.0
2,-1000,47.0
3,-1000,26.0
4,-1000,22.0
5,-1000,55.0
6,-1000,68.0
7,-1000,22.0
8,-1000,51.0
9,-1000,24.0
10,-1000,53.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,19.0
2,-1000,19.0
3,-1000,20.0
4,-1000,20.0
5,-1000,19.0
6,-1000,19.0
7,-1000,19.0
8,-1000,20.0
9,-1000,20.0
10,-1000,20.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,7.0
2,-1000,4.0
3,-1000,12.0
4,-1000,6.0
5,-1000,8.0
6,-1000,5.0
7,-1000,4.0
8,-1000,11.0
9,-1000,39.0
10,-1000,5.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,27.0
2,-1000,7.0
3,-1000,8.0
4,-1000,8.0
5,-1000,8.0
6,-1000,7.0
7,-1000,49.0
8,-1000,8.0
9,-1000,8.0
10,-1000,8.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-40,100.0
2,473,100.0
3,-32,100.0
4,471,100.0
5,-40,100.0
6,469,100.0
7,-24,100.0
8,485,100.0
9,-38,100.0
10,-40,100.0

