TAREA: ZELDA_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,17.0
2,14,100.0
3,-259,100.0
4,-142,100.0
5,-1000,50.0
6,-1000,32.0
7,-1000,24.0
8,-1000,56.0
9,873,100.0
10,-1000,60.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-233,100.0
2,-88,100.0
3,374,100.0
4,1000,78.0
5,-164,100.0
6,316,100.0
7,-1000,9.0
8,-1000,40.0
9,41,100.0
10,-1000,39.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,40,100.0
2,-1000,76.0
3,-1000,69.0
4,639,100.0
5,-1000,25.0
6,-1000,58.0
7,-165,100.0
8,-1000,7.0
9,-1000,51.0
10,-1000,79.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,1000,97.0
2,-1000,14.0
3,-1000,66.0
4,-1000,85.0
5,-1000,77.0
6,-1000,98.0
7,-1000,87.0
8,-156,100.0
9,-1000,58.0
10,160,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,59.0
2,-1000,27.0
3,-317,100.0
4,-1000,19.0
5,-1000,12.0
6,-1000,7.0
7,-1000,64.0
8,-166,100.0
9,-1000,26.0
10,-283,100.0

