TAREA: ZELDA_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,38.0
2,-1000,8.0
3,-1000,74.0
4,-1000,50.0
5,429,100.0
6,1000,16.0
7,-1000,8.0
8,1000,14.0
9,-1000,26.0
10,-1000,26.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,18.0
2,-1000,23.0
3,-1000,14.0
4,-1000,17.0
5,-1000,9.0
6,-1000,13.0
7,-1000,39.0
8,-1000,9.0
9,-1000,15.0
10,-1000,37.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,8.0
2,-1000,6.0
3,-1000,9.0
4,-1000,7.0
5,-1000,11.0
6,-1000,6.0
7,-1000,4.0
8,-1000,9.0
9,-1000,4.0
10,-1000,6.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,57.0
2,-1000,24.0
3,-200,100.0
4,-167,100.0
5,-1000,9.0
6,-201,100.0
7,-1000,9.0
8,-1000,55.0
9,-1000,8.0
10,-1000,68.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,6.0
2,-1000,38.0
3,-1000,6.0
4,288,100.0
5,-1000,6.0
6,-1000,32.0
7,-1000,24.0
8,-1000,50.0
9,-1000,83.0
10,-1000,90.0

