TAREA: ZELDA_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,37.0
2,-413,100.0
3,-1000,58.0
4,-1000,66.0
5,-1000,94.0
6,-1000,71.0
7,-1000,36.0
8,-299,100.0
9,-1000,44.0
10,-1000,87.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,388,100.0
2,-30,100.0
3,-1000,26.0
4,-1000,47.0
5,1000,70.0
6,-1000,18.0
7,-1000,8.0
8,-1000,40.0
9,-187,100.0
10,-1000,46.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,11.0
2,-1000,11.0
3,-1000,18.0
4,-1000,13.0
5,-1000,11.0
6,-1000,6.0
7,-1000,10.0
8,-1000,13.0
9,-1000,18.0
10,-1000,4.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,27.0
2,1000,52.0
3,-18,100.0
4,-1000,7.0
5,-1000,7.0
6,-407,100.0
7,-1000,13.0
8,-1000,20.0
9,-1000,61.0
10,244,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,182,100.0
2,182,100.0
3,-1000,68.0
4,209,100.0
5,-1000,10.0
6,-1000,79.0
7,130,100.0
8,-1000,96.0
9,-1000,11.0
10,-1000,9.0

