Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,3
Number of episodes per task,5



Task name,FIND_KEY
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
Number of successes,5
Number of failures,0

Episode index,Steps,Result
0,281,1
1,202,1
2,141,1
3,206,1
4,285,1



Task name,FIND_DOOR
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,3
Number of failures,2

Episode index,Steps,Result
0,500,-1
1,79,1
2,119,1
3,197,1
4,500,-1



Task name,KILL_ENEMIES
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,0
Number of failures,5

Episode index,Steps,Result
0,500,-1
1,500,-1
2,345,-1
3,214,-1
4,99,-1



