Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,1
Number of episodes per task,50



Task name,ZELDA
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
Number of successes,0
Number of failures,50

Episode index,Steps,Result
0,500,-1
1,500,-1
2,500,-1
3,147,-1
4,500,-1
5,421,-1
6,336,-1
7,500,-1
8,500,-1
9,500,-1
10,313,-1
11,193,-1
12,357,-1
13,500,-1
14,305,-1
15,346,-1
16,261,-1
17,500,-1
18,500,-1
19,500,-1
20,500,-1
21,500,-1
22,500,-1
23,493,-1
24,500,-1
25,442,-1
26,500,-1
27,346,-1
28,500,-1
29,500,-1
30,500,-1
31,500,-1
32,500,-1
33,500,-1
34,500,-1
35,500,-1
36,500,-1
37,500,-1
38,500,-1
39,500,-1
40,500,-1
41,500,-1
42,500,-1
43,500,-1
44,500,-1
45,500,-1
46,500,-1
47,500,-1
48,500,-1
49,500,-1



