Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,3
Number of episodes per task,50



Task name,FIND_KEY
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
Number of successes,3
Number of failures,47

Episode index,Steps,Result
0,500,-1
1,500,-1
2,500,-1
3,500,-1
4,500,-1
5,500,-1
6,500,-1
7,214,1
8,500,-1
9,500,-1
10,500,-1
11,288,1
12,500,-1
13,500,-1
14,500,-1
15,500,-1
16,500,-1
17,500,-1
18,500,-1
19,500,-1
20,315,1
21,500,-1
22,500,-1
23,500,-1
24,500,-1
25,500,-1
26,500,-1
27,500,-1
28,500,-1
29,500,-1
30,500,-1
31,500,-1
32,500,-1
33,500,-1
34,500,-1
35,500,-1
36,500,-1
37,500,-1
38,500,-1
39,500,-1
40,500,-1
41,500,-1
42,500,-1
43,500,-1
44,500,-1
45,500,-1
46,500,-1
47,500,-1
48,500,-1
49,500,-1



Task name,FIND_DOOR
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,2
Number of failures,48

Episode index,Steps,Result
0,500,-1
1,500,-1
2,500,-1
3,500,-1
4,500,-1
5,500,-1
6,500,-1
7,282,1
8,500,-1
9,500,-1
10,500,-1
11,500,-1
12,500,-1
13,500,-1
14,408,1
15,500,-1
16,500,-1
17,500,-1
18,500,-1
19,500,-1
20,500,-1
21,500,-1
22,500,-1
23,500,-1
24,500,-1
25,500,-1
26,500,-1
27,500,-1
28,500,-1
29,500,-1
30,500,-1
31,500,-1
32,500,-1
33,500,-1
34,500,-1
35,500,-1
36,500,-1
37,500,-1
38,500,-1
39,500,-1
40,500,-1
41,500,-1
42,500,-1
43,500,-1
44,500,-1
45,500,-1
46,500,-1
47,500,-1
48,500,-1
49,500,-1



Task name,KILL_ENEMIES
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,2
Number of failures,48

Episode index,Steps,Result
0,500,-1
1,500,-1
2,500,-1
3,500,-1
4,481,-1
5,182,-1
6,358,-1
7,383,-1
8,500,-1
9,116,-1
10,500,-1
11,101,-1
12,422,-1
13,54,-1
14,500,-1
15,290,-1
16,207,-1
17,500,-1
18,500,-1
19,136,-1
20,285,-1
21,290,-1
22,500,-1
23,500,-1
24,500,-1
25,500,-1
26,173,-1
27,494,-1
28,266,-1
29,500,-1
30,217,-1
31,500,-1
32,177,-1
33,346,-1
34,348,1
35,171,-1
36,500,-1
37,500,-1
38,414,-1
39,500,-1
40,500,-1
41,500,-1
42,498,1
43,500,-1
44,500,-1
45,500,-1
46,404,-1
47,500,-1
48,355,-1
49,500,-1



