Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,1
Number of episodes per task,50



Task name,ZELDA
Initial state,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.5, 0.25, 0.25, 1.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25]"
Number of successes,2
Number of failures,48

Episode index,Steps,Result
0,118,-1
1,373,-1
2,500,-1
3,151,-1
4,31,-1
5,155,-1
6,98,-1
7,132,-1
8,168,-1
9,173,-1
10,101,-1
11,500,-1
12,98,-1
13,119,-1
14,142,-1
15,95,-1
16,136,-1
17,85,-1
18,84,-1
19,164,-1
20,235,-1
21,94,-1
22,500,-1
23,132,-1
24,123,-1
25,107,-1
26,118,-1
27,106,-1
28,287,1
29,113,-1
30,197,-1
31,500,-1
32,500,-1
33,28,-1
34,190,-1
35,160,-1
36,26,-1
37,37,-1
38,332,1
39,232,-1
40,69,-1
41,500,-1
42,171,-1
43,255,-1
44,18,-1
45,67,-1
46,500,-1
47,25,-1
48,129,-1
49,136,-1



