Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,3
Number of episodes per task,50



Task name,FIND_KEY
Initial state,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25]"
Number of successes,24
Number of failures,26

Episode index,Steps,Result
0,248,1
1,315,1
2,313,1
3,310,1
4,500,-1
5,500,-1
6,500,-1
7,363,1
8,500,-1
9,500,-1
10,168,1
11,196,1
12,500,-1
13,500,-1
14,303,1
15,500,-1
16,233,1
17,500,-1
18,300,1
19,234,1
20,500,-1
21,346,1
22,326,1
23,372,1
24,500,-1
25,500,-1
26,500,-1
27,245,1
28,308,1
29,300,1
30,253,1
31,500,-1
32,500,-1
33,500,-1
34,359,1
35,330,1
36,500,-1
37,500,-1
38,348,1
39,500,-1
40,500,-1
41,500,-1
42,500,-1
43,500,-1
44,500,-1
45,500,-1
46,336,1
47,500,-1
48,104,1
49,465,1



Task name,FIND_DOOR
Initial state,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.25, 0.25]"
Number of successes,29
Number of failures,21

Episode index,Steps,Result
0,411,1
1,303,1
2,96,1
3,289,1
4,182,1
5,111,1
6,144,1
7,169,1
8,466,1
9,89,1
10,280,1
11,116,1
12,179,1
13,98,1
14,208,1
15,364,1
16,187,1
17,155,1
18,233,1
19,500,-1
20,39,1
21,124,1
22,58,1
23,259,1
24,215,1
25,288,1
26,392,1
27,270,1
28,500,-1
29,500,-1
30,157,1
31,271,1
32,500,-1
33,500,-1
34,500,-1
35,500,-1
36,500,-1
37,500,-1
38,500,-1
39,500,-1
40,500,-1
41,500,-1
42,500,-1
43,500,-1
44,500,-1
45,500,-1
46,500,-1
47,500,-1
48,500,-1
49,500,-1



Task name,KILL_ENEMIES
Initial state,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.25, 0.25]"
Number of successes,0
Number of failures,50

Episode index,Steps,Result
0,41,-1
1,88,-1
2,86,-1
3,25,-1
4,195,-1
5,65,-1
6,13,-1
7,480,-1
8,9,-1
9,100,-1
10,18,-1
11,90,-1
12,30,-1
13,12,-1
14,253,-1
15,9,-1
16,305,-1
17,57,-1
18,42,-1
19,103,-1
20,68,-1
21,13,-1
22,132,-1
23,223,-1
24,16,-1
25,10,-1
26,11,-1
27,36,-1
28,46,-1
29,194,-1
30,103,-1
31,127,-1
32,7,-1
33,27,-1
34,15,-1
35,222,-1
36,48,-1
37,182,-1
38,205,-1
39,64,-1
40,42,-1
41,41,-1
42,88,-1
43,17,-1
44,62,-1
45,16,-1
46,69,-1
47,71,-1
48,151,-1
49,152,-1



